run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,do_ofat,do_heatmaps,do_sensitivities,ofat_n,heatmap_nx,heatmap_ny,scan_mode,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,residual,converged,method,iterations,a1,b1,a2,b2,phi2_1_meanV,phi2_2_meanV
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,2.1887209432008605e-07,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.03778794312153291,314.8995260127743,0.011871712130681592,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4228087897424172,0.007094887303641595,-8.673617379884035e-18,True,closed_form(D5-6/D5-8),0,0.9093699814676522,-0.32855770972914317,0.819586394237989,-0.2959598395766374,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.0412178890177227e-07,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.05250617670899844,437.551472574987,0.01649569051607701,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4214972207145317,0.004995530940759188,-2.6020852139652106e-17,True,closed_form(D5-6/D5-8),0,0.9322323536406121,-0.33681406196081176,0.8649323058808234,-0.31233556521185935,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,58.5,,0.1,2.6253707424842898e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.006082292352364291,50.68576960303576,0.0019108535140344482,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44476453756363876,0.08141779776659168,-4.579669976578771e-16,True,closed_form(D5-6/D5-8),0,0.6050757041063975,-0.21872959865952465,0.29463475595798894,-0.1063934139757307,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,61.357142857142854,,0.1,2.6887181083035638e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005938990904185295,49.49159086821079,0.001865832975731547,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4444542588012478,0.07919433899782359,-1.3877787807814457e-17,True,closed_form(D5-6/D5-8),0,0.6085348140219442,-0.21996654520542214,0.2997874954584828,-0.10825313811596136,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,64.21428571428571,,0.1,2.7506069505377318e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005805363207568218,48.37802672973515,0.0018238516077110152,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4441622276950479,0.0771238476689058,8.326672684688674e-17,True,closed_form(D5-6/D5-8),0,0.6117465156794587,-0.22111514794836165,0.30472855340778066,-0.11003646706881433,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,67.07142857142857,,0.1,2.811133601729641e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0056803676564173835,47.33639713681153,0.0017845821720577947,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44388674684471113,0.07519008598471309,0.0,True,closed_form(D5-6/D5-8),0,0.614735785231674,-0.22218430675761452,0.30947231614342363,-0.1117485923247449,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,69.92857142857143,,0.1,2.870384235115649e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005563113186653141,46.35927655544284,0.0017477447261401951,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.443626337973149,0.07337910689669645,-1.8041124150158794e-16,True,closed_form(D5-6/D5-8),0,0.6175242257149917,-0.22318172185547538,0.3140317495210422,-0.11339419284268785,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,72.78571428571429,,0.1,2.9284363041779542e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005452832409689593,45.44027008074661,0.0017130981820441473,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44337970615033967,0.0716788558358472,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8),0,0.6201306301584579,-0.2241140937216915,0.31841858455629013,-0.11497750202090964,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,75.64285714285714,,0.1,2.985359730091906e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005348860382946736,44.573836524556135,0.0016804336369757665,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44314571099606725,0.07007885394373244,-2.7755575615628914e-16,True,closed_form(D5-6/D5-8),0,0.6225714340536621,-0.22498728379068225,0.322643472821091,-0.11650236375895408,,
ofat:epsilon_r,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8),0,0.6248610819651618,-0.22580644470723008,0.3267161174840782,-0.11797227973451423,,
