L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
6.0,0.5,Au,1.745,-158.83260134276054,-9.713830791574258
6.0,0.5,Au,1.75,-158.3512387493984,-9.737898921242365
6.0,0.5,Au,1.755,-157.86703998966158,-9.762108859229206
6.0,0.5,Au,1.76,-157.37326763412923,-9.786797477005823
6.0,0.5,Au,1.765,-156.87638977419653,-9.811641370002459
6.0,0.5,Au,1.77,-156.36969921690164,-9.836975897867203
6.0,0.5,Au,1.775,-155.8593950557897,-9.862491105922802
6.0,0.5,Au,1.78,-155.33922772704875,-9.888499472359848
6.0,0.5,Au,1.785,-154.81468966725535,-9.914726375349519
6.0,0.5,Au,1.79,-154.2804234796525,-9.94143968472966
6.0,0.5,Au,1.795,-153.7407813041327,-9.968421793505652
6.0,0.5,Au,1.8,-153.19171549281336,-9.995875084071617
6.0,0.5,Au,1.805,-152.63603269453705,-10.023659223985433
6.0,0.5,Au,1.81,-152.07137080390712,-10.051892318516929
6.0,0.5,Au,1.815,-151.4986387565758,-10.080528920883495
6.0,0.5,Au,1.82,-150.91746957881563,-10.109587379771504
6.0,0.5,Au,1.825,-150.32659870304772,-10.1391309235599
6.0,0.5,Au,1.83,-149.72787479706332,-10.16906711885912
6.0,0.5,Au,1.835,-149.11768170376274,-10.199576773524148
6.0,0.5,Au,1.84,-148.50019485970773,-10.230451115726899
6.0,0.5,Au,1.845,-147.86938421438435,-10.261991647993067
6.0,0.5,Au,1.85,-147.23173684319235,-10.293874016552667
6.0,0.5,Au,1.855,-146.57887634837073,-10.32651704129375
6.0,0.5,Au,1.86,-145.91944721076226,-10.359488498174173
6.0,0.5,Au,1.865,-145.2429335777545,-10.39331417982456
6.0,0.5,Au,1.87,-144.5598354275717,-10.4274690873337
6.0,0.5,Au,1.875,-143.85784838639043,-10.462568439392763
6.0,0.5,Au,1.88,-143.14887382449584,-10.498017167487493
6.0,0.5,Au,1.885,-142.41931389968073,-10.534495163728248
6.0,0.5,Au,1.89,-141.68186372311757,-10.571367672556406
6.0,0.5,Au,1.895,-140.9222673233605,-10.609347492544261
6.0,0.5,Au,1.9,-140.15325236424155,-10.647798240500208
6.0,0.5,Au,1.905,-139.36067402224208,-10.687427157600181
6.0,0.5,Au,1.91,-138.55637584086816,-10.727642066668878
6.0,0.5,Au,1.915,-137.72722087554868,-10.769099814934851
6.0,0.5,Au,1.92,-136.88308652646782,-10.811306532388894
6.0,0.5,Au,1.925,-136.01286522777883,-10.854817597323343
6.0,0.5,Au,1.93,-135.12319189392127,-10.899301264016222
6.0,0.5,Au,1.935,-134.20614238599296,-10.945153739412637
6.0,0.5,Au,1.94,-133.2635676944348,-10.992282473990544
6.0,0.5,Au,1.945,-132.2920438727382,-11.040858665075376
6.0,0.5,Au,1.95,-131.28666765857176,-11.091127475783697
6.0,0.5,Au,1.955,-130.2500700881597,-11.1429573543043
6.0,0.5,Au,1.96,-129.16780552096503,-11.197070582664033
6.0,0.5,Au,1.965,-128.05051837791316,-11.252934939816626
6.0,0.5,Au,1.97,-126.86959439364104,-11.311981139030234
6.0,0.5,Au,1.975,-125.64638688465382,-11.373141514479594
6.0,0.5,Au,1.98,-124.32838572045533,-11.439041572689518
6.0,0.5,Au,1.985,-122.95144496964832,-11.50788861022987
6.0,0.5,Au,1.99,-121.40897732853614,-11.585011992285478
6.0,0.5,Au,1.995,-119.74676433657613,-11.668122641883478
6.0,0.5,Au,2.0,-117.52160850494346,-11.77938043346511
6.0,0.5,C,2.0,-117.52160850494346,3.7659578288186752
6.0,0.5,C,2.009983361065,-113.62204614232107,3.6879665815662266
6.0,0.5,C,2.01996672213,-110.66892421488814,3.628904143017568
6.0,0.5,C,2.029950083195,-108.08018838115018,3.577129426342809
6.0,0.5,C,2.03993344426,-105.72378316936113,3.5300013221070277
6.0,0.5,C,2.049916805324,-103.53798172966373,3.4862852933130792
6.0,0.5,C,2.059900166389,-101.48673584958586,3.445260375711522
6.0,0.5,C,2.069883527454,-99.54636066089006,3.4064528719376064
6.0,0.5,C,2.079866888519,-97.7000937847585,3.3695275344149755
6.0,0.5,C,2.089850249584,-95.93544435230409,3.334234545765887
6.0,0.5,C,2.099833610649,-94.2427437780984,3.300380534281773
6.0,0.5,C,2.109816971714,-92.61428584549596,3.2678113756297247
6.0,0.5,C,2.119800332779,-91.0437840643693,3.236401340007191
6.0,0.5,C,2.129783693844,-89.52601238874439,3.206045906494693
6.0,0.5,C,2.139767054908,-88.05655798084807,3.1766568183367663
6.0,0.5,C,2.149750415973,-86.63164559523051,3.1481585706244153
6.0,0.5,C,2.159733777038,-85.24800947042472,3.1204858481282995
