group,scan,side,case,parameter_value_display,distance_nm,distance_over_lambda_D,phi_profile_mV
CH,Cdl_Pd,Pd,base,40.0,13.337184597088887,4.385474860335195,-1.290616639854593
CH,Cdl_Pd,Pd,base,40.0,13.422134817452513,4.41340782122905,-1.2547397751697305
CH,Cdl_Pd,Pd,base,40.0,13.507085037816136,4.4413407821229045,-1.219862399233003
CH,Cdl_Pd,Pd,base,40.0,13.592035258179758,4.4692737430167595,-1.1859565885488368
CH,Cdl_Pd,Pd,base,40.0,13.676985478543383,4.4972067039106145,-1.1529952026495933
CH,Cdl_Pd,Pd,base,40.0,13.761935698907005,4.525139664804469,-1.120951862028735
CH,Cdl_Pd,Pd,base,40.0,13.84688591927063,4.553072625698324,-1.0898009267000683
CH,Cdl_Pd,Pd,base,40.0,13.931836139634253,4.581005586592179,-1.059517475365136
CH,Cdl_Pd,Pd,base,40.0,14.016786359997877,4.608938547486034,-1.0300772851713498
CH,Cdl_Pd,Pd,base,40.0,14.1017365803615,4.636871508379888,-1.0014568120439455
CH,Cdl_Pd,Pd,base,40.0,14.186686800725123,4.664804469273743,-0.973633171575362
CH,Cdl_Pd,Pd,base,40.0,14.271637021088747,4.692737430167598,-0.9465841204561064
CH,Cdl_Pd,Pd,base,40.0,14.35658724145237,4.720670391061452,-0.920288038431613
CH,Cdl_Pd,Pd,base,40.0,14.441537461815994,4.748603351955307,-0.8947239107700782
CH,Cdl_Pd,Pd,base,40.0,14.526487682179619,4.776536312849162,-0.8698713112266778
CH,Cdl_Pd,Pd,base,40.0,14.61143790254324,4.804469273743017,-0.8457103854899858
CH,Cdl_Pd,Pd,base,40.0,14.696388122906864,4.832402234636871,-0.8222218350968427
CH,Cdl_Pd,Pd,base,40.0,14.781338343270487,4.860335195530726,-0.7993869018022884
CH,Cdl_Pd,Pd,base,40.0,14.866288563634113,4.888268156424581,-0.7771873523916131
CH,Cdl_Pd,Pd,base,40.0,14.951238783997734,4.916201117318435,-0.7556054639218799
CH,Cdl_Pd,Pd,base,40.0,15.036189004361356,4.94413407821229,-0.7346240093807063
CH,Cdl_Pd,Pd,base,40.0,15.121139224724983,4.972067039106145,-0.7142262437504087
CH,Cdl_Pd,Pd,base,40.0,15.206089445088605,5.0,-0.6943958904659572
CH,Cdl_Pd,Pd,high,100.0,0.0,0.0,-138.1328353574426
CH,Cdl_Pd,Pd,high,100.0,0.08495022036362349,0.027932960893854747,-134.1091236133332
CH,Cdl_Pd,Pd,high,100.0,0.16990044072724697,0.055865921787709494,-130.21348732816764
CH,Cdl_Pd,Pd,high,100.0,0.2548506610908705,0.08379888268156424,-126.44018570359317
CH,Cdl_Pd,Pd,high,100.0,0.33980088145449394,0.11173184357541899,-122.78403346765315
CH,Cdl_Pd,Pd,high,100.0,0.4247511018181174,0.13966480446927373,-119.24030052325475
CH,Cdl_Pd,Pd,high,100.0,0.509701322181741,0.16759776536312848,-115.80463433808065
CH,Cdl_Pd,Pd,high,100.0,0.5946515425453645,0.19553072625698323,-112.47299948940812
CH,Cdl_Pd,Pd,high,100.0,0.6796017629089879,0.22346368715083798,-109.2416302085625
CH,Cdl_Pd,Pd,high,100.0,0.7645519832726115,0.25139664804469275,-106.10699282401059
CH,Cdl_Pd,Pd,high,100.0,0.8495022036362349,0.27932960893854747,-103.06575578069473
CH,Cdl_Pd,Pd,high,100.0,0.9344524239998584,0.3072625698324022,-100.11476548980247
CH,Cdl_Pd,Pd,high,100.0,1.019402644363482,0.33519553072625696,-97.25102669140634
CH,Cdl_Pd,Pd,high,100.0,1.1043528647271055,0.36312849162011174,-94.47168633142806
CH,Cdl_Pd,Pd,high,100.0,1.189303085090729,0.39106145251396646,-91.77402019284291
CH,Cdl_Pd,Pd,high,100.0,1.2742533054543523,0.4189944134078212,-89.15542169985672
CH,Cdl_Pd,Pd,high,100.0,1.3592035258179758,0.44692737430167595,-86.61339244839313
CH,Cdl_Pd,Pd,high,100.0,1.4441537461815994,0.4748603351955307,-84.14553411791891
CH,Cdl_Pd,Pd,high,100.0,1.529103966545223,0.5027932960893855,-81.74954149677113
