L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.9,Au,1.635,-185.5778402316824,-6.063922612930931
1.0,0.9,Au,1.64,-185.4556850383246,-6.070030372598821
1.0,0.9,Au,1.645,-185.33157803673865,-6.076235722678118
1.0,0.9,Au,1.65,-185.20686346188938,-6.082471451420581
1.0,0.9,Au,1.655,-185.08022767331525,-6.088803240849288
1.0,0.9,Au,1.66,-184.95284313388325,-6.095172467820888
1.0,0.9,Au,1.665,-184.82360929476164,-6.101634159776968
1.0,0.9,Au,1.67,-184.69344103052515,-6.108142572988792
1.0,0.9,Au,1.675,-184.5615314034714,-6.11473805434148
1.0,0.9,Au,1.68,-184.42846332776656,-6.121391458126722
1.0,0.9,Au,1.685,-184.293789902353,-6.128125129397399
1.0,0.9,Au,1.69,-184.15770424849262,-6.134929412090419
1.0,0.9,Au,1.695,-184.0201670565249,-6.141806271688805
1.0,0.9,Au,1.7,-183.8809447357134,-6.14876738772938
1.0,0.9,Au,1.705,-183.74043034010373,-6.155793107509863
1.0,0.9,Au,1.71,-183.59795093409593,-6.1629170778102536
1.0,0.9,Au,1.715,-183.45433113672314,-6.170098067678893
1.0,0.9,Au,1.72,-183.30847245929687,-6.177391001550206
1.0,0.9,Au,1.725,-183.1616032554694,-6.18473446174158
1.0,0.9,Au,1.73,-183.01224043014736,-6.192202603007682
1.0,0.9,Au,1.735,-182.86196121599667,-6.199716563715215
1.0,0.9,Au,1.74,-182.70896523232818,-6.20736636289864
1.0,0.9,Au,1.745,-182.55509824743166,-6.215059712143467
1.0,0.9,Au,1.75,-182.3983339732691,-6.222897925851595
1.0,0.9,Au,1.755,-182.24068393472834,-6.230780427778633
1.0,0.9,Au,1.76,-182.08000757589429,-6.238814245720335
1.0,0.9,Au,1.765,-181.9183614327275,-6.246896552878675
1.0,0.9,Au,1.77,-181.75361744262315,-6.255133752383893
1.0,0.9,Au,1.775,-181.58774415121744,-6.263427416954179
1.0,0.9,Au,1.78,-181.4187615995563,-6.2718765445372355
1.0,0.9,Au,1.785,-181.2484117923544,-6.28039403489733
1.0,0.9,Au,1.79,-181.07500020226345,-6.289064614401878
1.0,0.9,Au,1.795,-180.89990559269296,-6.297819344880402
1.0,0.9,Au,1.8,-180.72185024673843,-6.306722112178129
1.0,0.9,Au,1.805,-180.5417225828221,-6.3157284953739445
1.0,0.9,Au,1.81,-180.3587792783276,-6.32487566059867
1.0,0.9,Au,1.815,-180.17330862369386,-6.334149193330357
1.0,0.9,Au,1.82,-179.9851978226052,-6.34355473338479
1.0,0.9,Au,1.825,-179.79404990367655,-6.353112129331222
1.0,0.9,Au,1.83,-179.60045016742725,-6.3627921161436864
1.0,0.9,Au,1.835,-179.40326247420597,-6.372651500804751
1.0,0.9,Au,1.84,-179.20380299265216,-6.3826244748824426
1.0,0.9,Au,1.845,-179.00017924950959,-6.392805662039571
1.0,0.9,Au,1.85,-178.7944311542769,-6.403093066801205
1.0,0.9,Au,1.855,-178.58393367320272,-6.413617940854914
1.0,0.9,Au,1.86,-178.3713996524656,-6.424244641891769
1.0,0.9,Au,1.865,-178.15353892282212,-6.435137678373944
1.0,0.9,Au,1.87,-177.93364039773192,-6.4461326046284535
1.0,0.9,Au,1.875,-177.70786101786217,-6.457421573621941
1.0,0.9,Au,1.88,-177.47992175063223,-6.468818536983438
1.0,0.9,Au,1.885,-177.2455834062648,-6.480535454201809
1.0,0.9,Au,1.89,-177.0088077970696,-6.49237423466157
