segment_id,material,x_nm,phi_RP_V,sigma_C_per_m2
Au,Au,1.15,-0.18987437821779307,-0.05760759449764924
Au,Au,1.155,-0.1898079707139039,-0.057640798249593825
Au,Au,1.16,-0.18974080866930226,-0.057674379271894644
Au,Au,1.165,-0.189673197353928,-0.05770818492958177
Au,Au,1.17,-0.18960513484783795,-0.0577422161826268
Au,Au,1.175,-0.18953629886241097,-0.05777663417534029
Au,Au,1.18,-0.18946719821717864,-0.057811184497956455
Au,Au,1.185,-0.18939731348461866,-0.057846126864236444
Au,Au,1.19,-0.1893269575721524,-0.057881304820469576
Au,Au,1.195,-0.18925612839870526,-0.057916719407193146
Au,Au,1.2,-0.1891844948061389,-0.05795253620347633
Au,Au,1.205,-0.18911257900999567,-0.05798849410154794
Au,Au,1.21,-0.18903984738604063,-0.05802485991352546
Au,Au,1.215,-0.18896662099594733,-0.05806147310857211
Au,Au,1.22,-0.18889289758030775,-0.0580983348163919
Au,Au,1.225,-0.1888183364737161,-0.058135615369687726
Au,Au,1.23,-0.18874347422296672,-0.058173046495062414
Au,Au,1.235,-0.18866776199046226,-0.05821090261131465
Au,Au,1.24,-0.1885915295567023,-0.058249018828194624
Au,Au,1.245,-0.18851477446434983,-0.05828739637437086
Au,Au,1.25,-0.18843714583878607,-0.05832621068715274
Au,Au,1.255,-0.18835919558387454,-0.058365185814608506
Au,Au,1.26,-0.18828035853015374,-0.05840460434146891
Au,Au,1.265,-0.1882009737955567,-0.058444296708767426
Au,Au,1.27,-0.18812103870240987,-0.05848426425534084
Au,Au,1.275,-0.18804019139167283,-0.05852468791070936
Au,Au,1.28,-0.1879590002530114,-0.05856528348004007
Au,Au,1.285,-0.187876882550413,-0.05860634233133928
Au,Au,1.29,-0.1877941874191557,-0.05864768989696792
Au,Au,1.295,-0.18771091193549932,-0.05868932763879611
Au,Au,1.3,-0.18762668239678879,-0.05873144240815138
Au,Au,1.305,-0.18754208492465238,-0.058773741144219585
Au,Au,1.31,-0.18745651784871664,-0.058816524682187454
Au,Au,1.315,-0.1873703410713458,-0.05885961307087288
Au,Au,1.32,-0.18728355139305483,-0.05890300791001836
Au,Au,1.325,-0.18719576231165752,-0.058946902450717015
Au,Au,1.33,-0.18710757906147146,-0.058990994075810044
Au,Au,1.335,-0.187018379516707,-0.05903559384819228
Au,Au,1.34,-0.18692853517643582,-0.05908051601832787
Au,Au,1.345,-0.1868380425310326,-0.05912576234102948
Au,Au,1.35,-0.1867465012108967,-0.059171533001097426
Au,Au,1.355,-0.18665453709870217,-0.05921751505719469
Au,Au,1.36,-0.1865615059148869,-0.05926403064910232
Au,Au,1.365,-0.1864677916766428,-0.05931088776822438
Au,Au,1.37,-0.18637339052413232,-0.059358088344479615
Au,Au,1.375,-0.18627788702214113,-0.05940584009547521
Au,Au,1.38,-0.18618192941667341,-0.05945381889820907
Au,Au,1.385,-0.18608484936977954,-0.05950235892165601
Au,Au,1.39,-0.18598704444418188,-0.05955126138445484
Au,Au,1.395,-0.18588851038288912,-0.05960052841510122
Au,Au,1.4,-0.18578881533429564,-0.059650375939397954
Au,Au,1.405,-0.18568863183134854,-0.059700467690871506
Au,Au,1.41,-0.18558726533174358,-0.059751150940673986
Au,Au,1.415,-0.18548512809418652,-0.059802219559452516
Au,Au,1.42,-0.18538221540920563,-0.05985367590194296
Au,Au,1.425,-0.1852780774782493,-0.05990574486742113
Au,Au,1.43,-0.18517341328902945,-0.05995807696203105
Au,Au,1.435,-0.18506749966469047,-0.06001103377420054
Au,Au,1.44,-0.18496076485401525,-0.06006440117953815
Au,Au,1.445,-0.18485320362941685,-0.06011818179183735
Au,Au,1.45,-0.18474434650153423,-0.06017261035577866
Au,Au,1.455,-0.18463492136834211,-0.06022732292237472
Au,Au,1.46,-0.18452417365119606,-0.06028269678094775
Au,Au,1.465,-0.1844125490517591,-0.06033850908066622
Au,Au,1.47,-0.18430004174590534,-0.06039476273359311
Au,Au,1.475,-0.18418616055459403,-0.06045170332924876
Au,Au,1.48,-0.1840716650828041,-0.06050895106514373
Au,Au,1.485,-0.18395576618016743,-0.06056690051646206
Au,Au,1.49,-0.1838389286634989,-0.06062531927479632
Au,Au,1.495,-0.18372114601769535,-0.0606842105976981
Au,Au,1.5,-0.1836019030677746,-0.060743832072658474
Au,Au,1.505,-0.18348199433032616,-0.06080378644138269
Au,Au,1.51,-0.18336059242819347,-0.06086448739244904
Au,Au,1.515,-0.18323818319314464,-0.060925692009973456
Au,Au,1.52,-0.18311475930439722,-0.060987403954347166
Au,Au,1.525,-0.18298977891085563,-0.06104989415111796
Au,Au,1.53,-0.18286407513687275,-0.0611127460381094
Au,Au,1.535,-0.18273677813368178,-0.06117639453970489
Au,Au,1.54,-0.18260839693287126,-0.061240585140110146
Au,Au,1.545,-0.1824789232673444,-0.06130532197287357
Au,Au,1.55,-0.18234778547031957,-0.06137089087138599
Au,Au,1.555,-0.1822158595678865,-0.06143685382260253
Au,Au,1.56,-0.18208222827068282,-0.061503669471204364
Au,Au,1.565,-0.181947426340028,-0.061571070436531775
Au,Au,1.57,-0.18181144438826435,-0.0616390614124136
Au,Au,1.575,-0.18167367722262426,-0.061707944995233646
Au,Au,1.58,-0.18153504879932064,-0.061777259206885454
Au,Au,1.585,-0.18139458852028867,-0.06184748934640144
Au,Au,1.59,-0.18125285982803668,-0.061918353692527434
Au,Au,1.595,-0.18110985199592883,-0.06198985760858136
Au,Au,1.6,-0.18096492187706129,-0.06206232266801513
Au,Au,1.605,-0.18081904729848622,-0.062135259957302666
Au,Au,1.61,-0.18067119735507395,-0.0622091849290088
Au,Au,1.615,-0.18052196764230402,-0.062283799785393765
Au,Au,1.62,-0.18037134581717806,-0.06235911069795674
Au,Au,1.625,-0.18021864543502533,-0.06243546088903311
Au,Au,1.63,-0.1800649052819708,-0.06251233096556037
Au,Au,1.635,-0.1799090257067797,-0.06259027075315593
Au,Au,1.64,-0.17975163857923096,-0.0626689643169303
Au,Au,1.645,-0.17959272958247224,-0.06274841881530965
Au,Au,1.65,-0.17943156244451797,-0.06282900238428679
Au,Au,1.655,-0.17926924546241232,-0.06291016087533961
Au,Au,1.66,-0.17910459993436348,-0.06299248363936404
Au,Au,1.665,-0.17893829894683666,-0.06307563413312745
Au,Au,1.67,-0.17877032574062687,-0.06315962073623234
Au,Au,1.675,-0.17859988612310043,-0.06324484054499556
Au,Au,1.68,-0.17842816835049502,-0.06333069943129827
Au,Au,1.685,-0.17825390190705756,-0.063417832653017
Au,Au,1.69,-0.17807780709070067,-0.06350588006119544
Au,Au,1.695,-0.1778998640740105,-0.06359485156954052
Au,Au,1.7,-0.17771921054583553,-0.06368517833362801
Au,Au,1.705,-0.17753712767161925,-0.06377621977073615
Au,Au,1.71,-0.17735223704955608,-0.06386866508176774
Au,Au,1.715,-0.17716531355360496,-0.0639621268297433
Au,Au,1.72,-0.17697633343332864,-0.06405661688988146
Au,Au,1.725,-0.17678435316117633,-0.06415260702595761
Au,Au,1.73,-0.1765907631308285,-0.06424940204113153
Au,Au,1.735,-0.17639405642261546,-0.06434775539523804
Au,Au,1.74,-0.17619507166510567,-0.06444724777399294
Au,Au,1.745,-0.1759937799865924,-0.06454789361324957
Au,Au,1.75,-0.17578913943676766,-0.06465021388816194
Au,Au,1.755,-0.1755826706034804,-0.06475344830480557
Au,Au,1.76,-0.17537271095446189,-0.06485842812931483
Au,Au,1.765,-0.17516017449972443,-0.06496469635668356
Au,Au,1.77,-0.17494502551404653,-0.06507227084952251
Au,Au,1.775,-0.1747261004024862,-0.06518173340530267
Au,Au,1.78,-0.17450507750529376,-0.0652922448538989
Au,Au,1.785,-0.174280102109716,-0.06540473255168777
Au,Au,1.79,-0.17405217860805497,-0.06551869430251829
Au,Au,1.795,-0.17382126182247692,-0.06563415269530731
Au,Au,1.8,-0.17358603412577597,-0.06575176654365779
Au,Au,1.805,-0.17334836883956303,-0.06587059918676426
Au,Au,1.81,-0.1731061680392676,-0.06599169958691198
Au,Au,1.815,-0.17286054625400413,-0.06611451047954371
Au,Au,1.82,-0.17261144477096657,-0.06623906122106249
Au,Au,1.825,-0.17235734487387674,-0.0663661111696074
Au,Au,1.83,-0.17210036686840166,-0.06649460017234494
Au,Au,1.835,-0.1718380953569194,-0.06662573592808607
