condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
w/o EDL reference,,0.4585610010427529,3.989853464110894e-12,-5.542233357863848e-12,0.0039898534641108945,-0.005542233357863848,0.19949267320554467,-0.27711166789319236
w/o EDL reference,,0.45881126173096975,4.0093434573732246e-12,-5.5152917670643905e-12,0.004009343457373225,-0.005515291767064391,0.20046717286866123,-0.2757645883532195
w/o EDL reference,,0.4590615224191867,4.028928657098849e-12,-5.48848114319972e-12,0.0040289286570988495,-0.00548848114319972,0.20144643285494246,-0.27442405715998597
w/o EDL reference,,0.45931178310740356,4.048609528360813e-12,-5.461800849620812e-12,0.004048609528360813,-0.005461800849620811,0.20243047641804063,-0.2730900424810406
w/o EDL reference,,0.45956204379562043,4.068386538504002e-12,-5.435250252773455e-12,0.004068386538504002,-0.005435250252773455,0.2034193269252001,-0.27176251263867274
w/o EDL reference,,0.45981230448383736,4.088260157156235e-12,-5.408828722183244e-12,0.004088260157156235,-0.005408828722183244,0.20441300785781172,-0.27044143610916216
w/o EDL reference,,0.46006256517205424,4.108230856239386e-12,-5.382535630440608e-12,0.004108230856239386,-0.005382535630440608,0.2054115428119693,-0.26912678152203034
w/o EDL reference,,0.4603128258602711,4.1282991099806425e-12,-5.356370353185895e-12,0.004128299109980643,-0.005356370353185895,0.2064149554990321,-0.2678185176592947
w/o EDL reference,,0.46056308654848804,4.148465394923729e-12,-5.330332269094547e-12,0.00414846539492373,-0.005330332269094547,0.20742326974618644,-0.2665166134547273
w/o EDL reference,,0.4608133472367049,4.168730189940228e-12,-5.304420759862383e-12,0.004168730189940228,-0.005304420759862383,0.2084365094970114,-0.26522103799311914
w/o EDL reference,,0.4610636079249218,4.189093976240966e-12,-5.2786352101908626e-12,0.004189093976240966,-0.005278635210190862,0.20945469881204826,-0.2639317605095431
w/o EDL reference,,0.4613138686131387,4.209557237387432e-12,-5.252975007772498e-12,0.004209557237387432,-0.005252975007772498,0.21047786186937156,-0.2626487503886249
w/o EDL reference,,0.4615641293013556,4.230120459303243e-12,-5.227439543276336e-12,0.0042301204593032425,-0.005227439543276337,0.2115060229651621,-0.26137197716381677
w/o EDL reference,,0.46181438998957247,4.250784130285719e-12,-5.202028210333449e-12,0.004250784130285719,-0.005202028210333449,0.21253920651428593,-0.2601014105166724
w/o EDL reference,,0.4620646506777894,4.271548741017445e-12,-5.176740405522555e-12,0.004271548741017445,-0.005176740405522555,0.21357743705087223,-0.2588370202761277
w/o EDL reference,,0.4623149113660063,4.292414784577944e-12,-5.151575528355715e-12,0.004292414784577944,-0.0051515755283557145,0.21462073922889718,-0.2575787764177857
w/o EDL reference,,0.46256517205422315,4.313382756455376e-12,-5.126532981264022e-12,0.004313382756455376,-0.005126532981264022,0.21566913782276878,-0.2563266490632011
w/o EDL reference,,0.4628154327424401,4.3344531545583134e-12,-5.101612169583441e-12,0.0043344531545583135,-0.005101612169583441,0.21672265772791566,-0.255080608479172
w/o EDL reference,,0.46306569343065695,4.355626479227532e-12,-5.076812501540697e-12,0.004355626479227532,-0.005076812501540697,0.21778132396137662,-0.2538406250770348
w/o EDL reference,,0.46331595411887383,4.3769032332479474e-12,-5.0521333882391955e-12,0.0043769032332479476,-0.0050521333882391955,0.21884516166239737,-0.25260666941195975
w/o EDL reference,,0.4635662148070907,4.3982839218605026e-12,-5.027574243645056e-12,0.004398283921860502,-0.005027574243645056,0.2199141960930251,-0.2513787121822528
w/o EDL reference,,0.46381647549530763,4.419769052774196e-12,-5.003134484573199e-12,0.004419769052774196,-0.0050031344845731995,0.22098845263870978,-0.2501567242286599
w/o EDL reference,,0.4640667361835245,4.441359136178129e-12,-4.978813530673492e-12,0.004441359136178129,-0.0049788135306734925,0.22206795680890645,-0.2489406765336746
w/o EDL reference,,0.46431699687174144,4.4630546847536274e-12,-4.954610804416954e-12,0.004463054684753627,-0.004954610804416954,0.22315273423768134,-0.2477305402208477
w/o EDL reference,,0.4645672575599583,4.48485621368638e-12,-4.930525731082074e-12,0.00448485621368638,-0.004930525731082074,0.22424281068431898,-0.2465262865541037
w/o EDL reference,,0.4648175182481752,4.5067642406787364e-12,-4.906557738741125e-12,0.004506764240678736,-0.004906557738741125,0.2253382120339368,-0.24532788693705623
w/o EDL reference,,0.46506777893639206,4.528779285961939e-12,-4.8827062582466225e-12,0.004528779285961939,-0.0048827062582466225,0.2264389642980969,-0.2441353129123311
w/o EDL reference,,0.465318039624609,4.5509018723085144e-12,-4.858970723217769e-12,0.004550901872308514,-0.004858970723217769,0.22754509361542571,-0.24294853616088843
w/o EDL reference,,0.46556830031282587,4.573132525044676e-12,-4.8353505700270474e-12,0.004573132525044677,-0.004835350570027048,0.2286566262522338,-0.24176752850135233
w/o EDL reference,,0.4658185610010428,4.595471772062802e-12,-4.811845237786792e-12,0.004595471772062802,-0.0048118452377867915,0.22977358860314007,-0.24059226188933958
w/o EDL reference,,0.46606882168925967,4.617920143833943e-12,-4.788454168335913e-12,0.004617920143833942,-0.004788454168335913,0.23089600719169712,-0.23942270841679564
w/o EDL reference,,0.46631908237747655,4.6404781734204705e-12,-4.765176806226605e-12,0.004640478173420471,-0.004765176806226605,0.2320239086710235,-0.2382588403113302
w/o EDL reference,,0.4665693430656934,4.663146396488686e-12,-4.7420125987111886e-12,0.004663146396488686,-0.004742012598711189,0.23315731982443424,-0.2371006299355594
