d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,E_mix_with_EDL_V,E_mix_without_EDL_V,delta_E_total_EDL_V,i_mix_avg_with_EDL_A_per_m2,i_mix_avg_without_EDL_A_per_m2,delta_i_total_EDL_A_per_m2,I_Au_with_EDL_A,I_Pd_with_EDL_A,relative_balance_residual,max_abs_phi_tilde,n_nodes,n_elements,E_mix_no_overlap_100nm_V,i_mix_avg_no_overlap_100nm_A_per_m2,delta_E_overlap_vs_100nm_V,delta_i_overlap_vs_100nm_A_per_m2,reference_100nm_plateau_validated
9.000000000000001e-09,9.000000000000002,2.9593407405961627,0.5981071964054544,0.46699999999999997,0.13110719640545443,0.0837624270720598,0.11756035407872421,-0.03379792700666441,4.18812135360299e-11,-4.188121353816522e-11,2.5492593630011055e-11,6.0309577119744215,13550,13260,0.5980484934361089,0.08383834671661106,5.870296934551433e-05,-7.591964455125333e-05,True
9.123653667053e-09,9.123653667053,2.9999999999999463,0.598104515636968,0.46699999999999997,0.131104515636968,0.08376590265283143,0.11756035407872421,-0.03379445142589278,4.188295132641572e-11,-4.188295132855166e-11,2.5498942082953174e-11,6.03100630421789,13550,13260,0.5980484934361089,0.08383834671661106,5.602220085909604e-05,-7.244406377962531e-05,True
9.5e-09,9.5,3.1237485595181713,0.5980972241290284,0.46699999999999997,0.13109722412902847,0.08377532734038669,0.11756035407872421,-0.033785026738337526,4.1887663670193344e-11,-4.1887663672331005e-11,2.5516592448462952e-11,6.031138467495385,13681,13390,0.5980484934361089,0.08383834671661106,4.87306929195519e-05,-6.30193762243686e-05,True
1e-08,10.0,3.2881563784401804,0.5980889874770864,0.46699999999999997,0.13108898747708642,0.08378598550976511,0.11756035407872421,-0.0337743685689591,4.189299275488256e-11,-4.189299275702205e-11,2.5535174129656192e-11,6.031287756380227,13812,13520,0.5980484934361089,0.08383834671661106,4.04940409775012e-05,-5.236120684594392e-05,True
1.5000000000000002e-08,15.000000000000002,4.932234567660271,0.5980550860019982,0.46699999999999997,0.13105508600199822,0.0838298498313737,0.11756035407872421,-0.03373050424735051,4.191492491568686e-11,-4.1914924917833714e-11,2.5609694056059656e-11,6.031902117237495,14860,14560,0.5980484934361089,0.08383834671661106,6.592565889307345e-06,-8.49688523735237e-06,True
1.5206089445089002e-08,15.206089445089003,5.000000000000131,0.5980546397072698,0.46699999999999997,0.13105463970726983,0.08383041828726163,0.11756035407872421,-0.03372993579146258,4.191520914363082e-11,-4.191520914577794e-11,2.561268101847362e-11,6.031910202756585,14991,14690,0.5980484934361089,0.08383834671661106,6.146271160911709e-06,-7.928429349421395e-06,True
2e-08,20.0,6.576312756880361,0.5980496150716896,0.46699999999999997,0.13104961507168966,0.08383690560070743,0.11756035407872421,-0.03372344847801678,4.191845280035372e-11,-4.19184528025017e-11,2.5620951062081137e-11,6.032001228699308,15908,15600,0.5980484934361089,0.08383834671661106,1.1216355807475153e-06,-1.4411159036248344e-06,True
3.0000000000000004e-08,30.000000000000004,9.864469135320542,0.5980485343590751,0.46699999999999997,0.13104853435907515,0.08383829169310537,0.11756035407872421,-0.03372206238561884,4.191914584655269e-11,-4.191914584870101e-11,2.562453569044449e-11,6.032020801628452,18135,17810,0.5980484934361089,0.08383834671661106,4.09229662379218e-08,-5.502350568231673e-08,True
5.0000000000000004e-08,50.00000000000001,16.440781892200903,0.5980484967998682,0.46699999999999997,0.13104849679986819,0.08383834098456983,0.11756035407872421,-0.03372201309415439,4.191917049228492e-11,-4.191917049443316e-11,2.562359565212327e-11,6.0320214817371856,22458,22100,0.5980484934361089,0.08383834671661106,3.3637592711244224e-09,-5.7320412305550406e-09,True
7.500000000000001e-08,75.00000000000001,24.661172838301354,0.598048494503536,0.46699999999999997,0.13104849450353606,0.08383834489245934,0.11756035407872421,-0.033722009186264876,4.191917244622967e-11,-4.191917244837791e-11,2.5623594457751164e-11,6.0320215233769225,27829,27430,0.5980484934361089,0.08383834671661106,1.0674271466726282e-09,-1.8241517185657585e-09,True
1.0000000000000001e-07,100.00000000000001,32.881563784401806,0.5980484934361089,0.46699999999999997,0.13104849343610891,0.08383834671661106,0.11756035407872421,-0.03372200736211316,4.191917335830553e-11,-4.1919173360453746e-11,2.5623285575998612e-11,6.032021542733347,33200,32760,0.5980484934361089,0.08383834671661106,0.0,0.0,True
