scan,side,reactant,sweep_index,is_baseline,parameter_value_SI,parameter_value_display,parameter_display_unit,sigma_C_per_m2,sigma_mC_per_m2,sigma_uC_per_cm2,phi_RP_mean_V,phi_RP_mean_mV,reactant_mean,log10_reactant_mean,eta_mean_V,eta_mean_mV,bv_exp_mean,log10_bv_exp_mean,bv_conc_exp_mean,log10_bv_conc_exp_mean,side_current_avg_A_per_m2,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,max_abs_phi_tilde,debye_huckel_ok
Cdl_Pd,Pd,O2,0,False,0.05,5.0,$\mu$F cm$^{-2}$,-0.008856055458709756,-8.856055458709756,-0.8856055458709756,-0.03629886492155967,-36.29886492155967,4.166240623853307,0.6197443492876438,-0.23112110917419504,-231.12110917419503,90.44888387854418,1.9564032121203203,371.5137090705523,2.5699748441096295,-0.034412829770267966,0.5665800259042453,0.4670000000000001,0.03441282977030803,0.11756035407872442,1.7206414885154017e-11,5.878017703936221e-11,6.6071041573954155,False
Cdl_Pd,Pd,O2,1,False,0.05547847360339224,5.547847360339224,$\mu$F cm$^{-2}$,-0.009588651894929842,-9.588651894929843,-0.9588651894929843,-0.039339084774881336,-39.339084774881336,4.6959351501456865,0.6717220907675928,-0.22683553912239462,-226.83553912239464,83.24990464146315,1.9203837447163745,384.8700986348445,2.5853141711560874,-0.035650014695613734,0.567825376102724,0.4670000000000001,0.03565001468861533,0.11756035407872442,1.7825007344307666e-11,5.878017703936221e-11,6.584537811893494,False
Cdl_Pd,Pd,O2,2,False,0.061557220667245796,6.1557220667245796,$\mu$F cm$^{-2}$,-0.01036120584492289,-10.36120584492289,-1.036120584492289,-0.04254360286408968,-42.543602864089685,5.32733445936791,0.7265099634073495,-0.22231828553357696,-222.31828553357695,76.2823748180992,1.8824242050129503,399.4693488139871,2.6014834616183817,-0.03700232417685814,0.5691381116023333,0.4670000000000001,0.037002324158761236,0.11756035407872442,1.850116207938062e-11,5.878017703936221e-11,6.560752919717487,False
Cdl_Pd,Pd,O2,3,False,0.06830201283771979,6.830201283771979,$\mu$F cm$^{-2}$,-0.011172596764107087,-11.172596764107087,-1.1172596764107086,-0.045907453396139566,-45.907453396139566,6.0816191362523835,0.7840192188000275,-0.21757639108897553,-217.57639108897553,69.59587537167681,1.8425835017312406,415.391034723329,2.618457119035374,-0.03847712915303146,0.5705161555148849,0.4670000000000001,0.038477129165221974,0.11756035407872442,1.9238564582610988e-11,5.878017703936221e-11,6.535789583822304,False
Cdl_Pd,Pd,O2,4,False,0.0757858283255199,7.57858283255199,$\mu$F cm$^{-2}$,-0.01202115896358642,-12.02115896358642,-1.202115896358642,-0.04942338007031063,-49.42338007031063,6.984267767113896,0.8441208812632031,-0.2126201434911076,-212.6201434911076,63.233512967483,1.800947309917168,432.71085350002477,2.6361977885568355,-0.0400814413511074,0.5719564764385817,0.4670000000000001,0.0400814413482046,0.11756035407872442,2.0040720674102302e-11,5.878017703936221e-11,6.509700132528204,False
Cdl_Pd,Pd,O2,5,False,0.08408964152537145,8.408964152537145,$\mu$F cm$^{-2}$,-0.012904663536197894,-12.904663536197894,-1.2904663536197893,-0.0530817644495875,-53.0817644495875,8.065745866940427,0.9066445342691508,-0.207463176939627,-207.46317693962698,57.23067075332095,1.7576288359443655,451.4981611956719,2.654655985913757,-0.041821685131584345,0.5734550586107855,0.4670000000000001,0.04182168513164905,0.11756035407872442,2.0910842565824526e-11,5.878017703936221e-11,6.482557723596969,False
Cdl_Pd,Pd,O2,6,False,0.09330329915368073,9.330329915368072,$\mu$F cm$^{-2}$,-0.013820315976351945,-13.820315976351946,-1.3820315976351945,-0.056870620922419464,-56.87062092241946,9.362208627395626,0.9713783147146403,-0.20212247907320366,-202.12247907320366,51.61415326666198,1.712768807107539,471.81318918086623,2.6737700770930473,-0.043703439647674,0.5750069000043768,0.4670000000000001,0.04370343959669662,0.11756035407872442,2.185171979834831e-11,5.878017703936221e-11,6.454453415433976,False
Cdl_Pd,Pd,O2,7,False,0.10352649238413773,10.352649238413774,$\mu$F cm$^{-2}$,-0.01476477143477397,-14.76477143477397,-1.476477143477397,-0.06077566633189012,-60.77566633189012,10.916169246930082,1.0380702604568188,-0.19661829117119992,-196.61829117119993,46.40177503375649,1.666534594188951,493.70400057519964,2.693466646402627,-0.045731156923386106,0.5766060424969099,0.4670000000000001,0.045731156910307554,0.11756035407872442,2.2865578455153777e-11,5.878017703936221e-11,6.425495615717642,False
Cdl_Pd,Pd,O2,8,False,0.1148698354997035,11.48698354997035,$\mu$F cm$^{-2}$,-0.01573416881474451,-15.73416881474451,-1.5734168814744511,-0.06478046923219495,-64.78046923219495,12.777064797417058,1.1064310972735953,-0.19097389524672137,-190.97389524672138,41.602403728340455,1.6191184242756704,517.2032979284218,2.7136612854804927,-0.047907866153202874,0.5782456355210837,0.4670000000000001,0.04790786615311925,0.11756035407872442,2.3953933076559625e-11,5.878017703936221e-11,6.395808921628134,False
Cdl_Pd,Pd,O2,9,False,0.12745606273192622,12.745606273192623,$\mu$F cm$^{-2}$,-0.016724183823649045,-16.724183823649046,-1.6724183823649046,-0.0688666790757558,-68.8666790757558,15.001630515294986,1.1761384647430926,-0.1852152867833711,-185.21528678337108,37.216427558711395,1.5707346824433033,542.3252160353413,2.734259797926892,-0.050234876624711086,0.5799180341408731,0.4670000000000001,0.050234876624560346,0.11756035407872442,2.5117438312280175e-11,5.878017703936221e-11,6.365532334439797,False
