condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
4,janus_on_c_support,C-supported Janus,with EDL,0.6015,3.804996875697171e-12,-7.035078288846235e-12,0.0038049968756971708,-0.007035078288846235,-3.230081413149064e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60175,3.83574718783346e-12,-6.978152340456351e-12,0.0038357471878334598,-0.00697815234045635,-3.142405152622891e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6020000000000001,3.86674607052676e-12,-6.92168705350564e-12,0.00386674607052676,-0.00692168705350564,-3.05494098297888e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6022500000000001,3.8979955335792705e-12,-6.865678699932584e-12,0.0038979955335792706,-0.006865678699932584,-2.9676831663533138e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6025,3.929497603047194e-12,-6.81012358184821e-12,0.003929497603047194,-0.006810123581848211,-2.880625978801016e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60275,3.961254321372139e-12,-6.755018031292028e-12,0.003961254321372139,-0.006755018031292028,-2.793763709919889e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.603,3.993267747513727e-12,-6.700358409989688e-12,0.003993267747513727,-0.006700358409989688,-2.7070906624759608e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6032500000000001,4.0255399570831615e-12,-6.646141109112767e-12,0.004025539957083162,-0.006646141109112767,-2.6206011520296058e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6035,4.058073042477909e-12,-6.59236254904047e-12,0.004058073042477909,-0.00659236254904047,-2.534289506562561e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60375,4.0908691130175624e-12,-6.539019179123141e-12,0.004090869113017563,-0.006539019179123141,-2.4481500661055784e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6040000000000001,4.123930295080688e-12,-6.486107477447753e-12,0.004123930295080688,-0.006486107477447753,-2.3621771823670647e-12
