condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,1.0,0.47758081334723673,1.2142827363864187e-12,-6.381619916610054e-12,0.0012142827363864188,-0.006381619916610053,0.06071413681932093,-0.31908099583050265
with EDL,1.0,0.4778310740354536,1.221282192269105e-12,-6.345045349856238e-12,0.0012212821922691051,-0.006345045349856238,0.06106410961345525,-0.3172522674928119
with EDL,1.0,0.47808133472367054,1.2283219949188095e-12,-6.308680400558592e-12,0.0012283219949188095,-0.006308680400558592,0.06141609974594047,-0.3154340200279296
with EDL,1.0,0.4783315954118874,1.2354023769052618e-12,-6.2725238673501265e-12,0.0012354023769052618,-0.006272523867350126,0.06177011884526308,-0.3136261933675063
with EDL,1.0,0.4785818561001043,1.242523572138793e-12,-6.236574555749137e-12,0.001242523572138793,-0.006236574555749138,0.06212617860693965,-0.31182872778745685
with EDL,1.0,0.47883211678832116,1.249685815878062e-12,-6.200831278119787e-12,0.0012496858158780619,-0.006200831278119787,0.062484290793903094,-0.3100415639059893
with EDL,1.0,0.4790823774765381,1.2568893447378145e-12,-6.16529285363285e-12,0.0012568893447378144,-0.00616529285363285,0.06284446723689072,-0.3082646426816425
with EDL,1.0,0.47933263816475496,1.2641343966967127e-12,-6.1299581082267345e-12,0.0012641343966967127,-0.0061299581082267345,0.06320671983483563,-0.3064979054113367
with EDL,1.0,0.4795828988529719,1.2714212111051939e-12,-6.09482587456864e-12,0.0012714212111051939,-0.00609482587456864,0.06357106055525968,-0.30474129372843195
with EDL,1.0,0.47983315954118877,1.2787500286933669e-12,-6.059894992016064e-12,0.0012787500286933668,-0.006059894992016064,0.06393750143466834,-0.30299474960080314
with EDL,1.0,0.48008342022940564,1.286121091578985e-12,-6.025164306578386e-12,0.001286121091578985,-0.0060251643065783855,0.06430605457894924,-0.3012582153289193
with EDL,1.0,0.4803336809176225,1.2935346432754295e-12,-5.990632670878791e-12,0.0012935346432754295,-0.005990632670878791,0.06467673216377147,-0.2995316335439395
with EDL,1.0,0.48058394160583945,1.3009909286997602e-12,-5.956298944116346e-12,0.0013009909286997602,-0.0059562989441163455,0.065049546434988,-0.29781494720581725
with EDL,1.0,0.4808342022940563,1.3084901941808043e-12,-5.922161992028326e-12,0.0013084901941808043,-0.005922161992028326,0.06542450970904021,-0.29610809960141626
with EDL,1.0,0.4810844629822732,1.3160326874672964e-12,-5.888220686852727e-12,0.0013160326874672964,-0.005888220686852727,0.06580163437336481,-0.2944110343426363
with EDL,1.0,0.4813347236704901,1.323618657736065e-12,-5.854473907291002e-12,0.001323618657736065,-0.0058544739072910025,0.06618093288680324,-0.29272369536455006
with EDL,1.0,0.481584984358707,1.3312483556002511e-12,-5.820920538471063e-12,0.001331248355600251,-0.005820920538471063,0.06656241778001255,-0.29104602692355314
with EDL,1.0,0.4818352450469239,1.338922033117609e-12,-5.787559471910387e-12,0.001338922033117609,-0.005787559471910387,0.06694610165588044,-0.2893779735955193
with EDL,1.0,0.4820855057351408,1.3466399437988184e-12,-5.7543896054794304e-12,0.0013466399437988183,-0.00575438960547943,0.06733199718994091,-0.2877194802739715
with EDL,1.0,0.4823357664233577,1.354402342615864e-12,-5.721409843365226e-12,0.001354402342615864,-0.005721409843365226,0.06772011713079319,-0.28607049216826125
with EDL,1.0,0.48258602711157456,1.3622094860104576e-12,-5.688619096035157e-12,0.0013622094860104576,-0.005688619096035157,0.06811047430052287,-0.28443095480175784
with EDL,1.0,0.4828362877997915,1.370061631902515e-12,-5.6560162802009626e-12,0.001370061631902515,-0.005656016280200963,0.06850308159512575,-0.2828008140100481
with EDL,1.0,0.48308654848800836,1.377959039698662e-12,-5.623600318783009e-12,0.0013779590396986619,-0.005623600318783009,0.06889795198493309,-0.28118001593915043
with EDL,1.0,0.48333680917622523,1.3859019703008242e-12,-5.591370140874618e-12,0.0013859019703008242,-0.005591370140874618,0.0692950985150412,-0.2795685070437309
with EDL,1.0,0.4835870698644421,1.393890686114835e-12,-5.559324681706726e-12,0.001393890686114835,-0.005559324681706727,0.06969453430574174,-0.2779662340853363
with EDL,1.0,0.48383733055265904,1.4019254510591049e-12,-5.527462882612735e-12,0.0014019254510591048,-0.005527462882612735,0.07009627255295524,-0.2763731441306367
with EDL,1.0,0.4840875912408759,1.4100065305733426e-12,-5.495783690993509e-12,0.0014100065305733425,-0.0054957836909935096,0.07050032652866713,-0.27478918454967544
