material,condition,curve_source,C_tot_M,C_tot_mol_per_m3,E_mix_V,lambda_D_nm,distance_from_RP_nm,phi_bar_tilde,phi_bar_V,phi_bar_mV
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.883958139307593,-0.17217806391875695,-0.004421242163852646,-4.421242163852646
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.931477168823495,-0.1695086904585057,-0.004352697157451011,-4.352697157451011
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.978996198339397,-0.16688070179785158,-0.0042852148428740916,-4.285214842874091
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.026515227855299,-0.16429345632494685,-0.004218778744612232,-4.218778744612233
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.074034257371201,-0.16174632237521389,-0.004153372642584893,-4.153372642584893
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.121553286887103,-0.15923867807712622,-0.004088980568180564,-4.088980568180564
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.169072316403003,-0.15676991120038208,-0.004025586800358119,-4.025586800358119
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.216591345918905,-0.15433941900643042,-0.003963175861808569,-3.963175861808569
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.264110375434807,-0.15194660810131558,-0.003901732515176376,-3.901732515176376
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.31162940495071,-0.1495908942908023,-0.0038412417593392924,-3.8412417593392925
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.359148434466611,-0.14727170243774748,-0.003781688825745918,-3.781688825745918
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.406667463982513,-0.1449884663216831,-0.003723059174810023,-3.723059174810023
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.454186493498415,-0.14274062850057573,-0.003665338492360765,-3.6653384923607653
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.501705523014317,-0.14052764017472946,-0.0036085126861479487,-3.608512686147949
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.54922455253022,-0.1383489610527992,-0.00355256788240147,-3.55256788240147
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.596743582046122,-0.13620405921988082,-0.0034974904224440956,-3.4974904224440957
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.644262611562024,-0.13409241100764632,-0.0034432668593567532,-3.4432668593567533
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.691781641077926,-0.13201350086649266,-0.0033898839546955273,-3.3898839546955273
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.739300670593826,-0.1299668212396724,-0.0033373286752595497,-3.33732867525955
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.786819700109728,-0.12795187243937634,-0.003285588189909007,-3.285588189909007
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.83433872962563,-0.1259681625247365,-0.0032346498664324657,-3.234649866432466
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.881857759141532,-0.12401520718172125,-0.0031845012684627817,-3.184501268462782
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.929376788657434,-0.12209252960489217,-0.0031351301524408137,-3.135130152440814
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,10.976895818173336,-0.12019966038099368,-0.003086524464626204,-3.086524464626204
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.024414847689238,-0.11833613737434844,-0.0030386723381545236,-3.0386723381545235
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.07193387720514,-0.11650150561402851,-0.00299156209014002,-2.99156209014002
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.119452906721042,-0.11469531718277666,-0.0029451822188233025,-2.9451822188233026
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.166971936236944,-0.11291713110764882,-0.0028995214007632246,-2.899521400763225
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.214490965752846,-0.11116651325235288,-0.0028545684880723265,-2.8545684880723265
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.262009995268748,-0.10944303621125588,-0.00281031250569512,-2.81031250569512
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.309529024784648,-0.10774627920503535,-0.002766742648728588,-2.766742648728588
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.35704805430055,-0.10607582797794723,-0.0027238482797842015,-2.7238482797842014
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.404567083816453,-0.10443127469668761,-0.0026816189263908557,-2.681618926390856
