L_support_nm,x_nm,material,phi_RP_V,sigma_C_per_m2,sigma_uC_per_cm2
0.0,1.1702340468093626,Au,-0.15368464653734976,-0.035124071869125355,-3.5124071869125353
0.0,1.1802360472094413,Au,-0.15368474093826606,-0.03512405298894209,-3.512405298894209
0.0,1.1902380476095231,Au,-0.15368480730835454,-0.03512403971492439,-3.5124039714924393
0.0,1.2002400480096016,Au,-0.15368482184671983,-0.03512403680725134,-3.512403680725134
0.0,1.2102420484096805,Au,-0.15368477904856181,-0.03512404536688294,-3.512404536688294
0.0,1.2202440488097621,Au,-0.1536846936506035,-0.035124062446474605,-3.5124062446474604
0.0,1.2302460492098408,Au,-0.15368459542951315,-0.03512408209069267,-3.512408209069267
0.0,1.2402480496099226,Au,-0.1536845186893085,-0.035124097438733605,-3.5124097438733606
0.0,1.2502500500100013,Au,-0.15368449014917276,-0.03512410314676075,-3.5124103146760755
0.0,1.2602520504100831,Au,-0.15368451950827106,-0.03512409727494109,-3.5124097274941093
0.0,1.2702540508101616,Au,-0.15368459601935314,-0.03512408197272467,-3.5124081972724674
0.0,1.2802560512102434,Au,-0.15368469228155435,-0.035124062720284434,-3.5124062720284432
0.0,1.2902580516103221,Au,-0.15368477391389593,-0.03512404639381612,-3.5124046393816117
0.0,1.3002600520104008,Au,-0.1536848116943976,-0.03512403883771578,-3.512403883771578
0.0,1.3102620524104824,Au,-0.1536847918787783,-0.035124042800839646,-3.5124042800839645
0.0,1.3202640528105614,Au,-0.1536847210550807,-0.035124056965579166,-3.5124056965579165
0.0,1.330266053210643,Au,-0.15368462381952416,-0.03512407641269047,-3.512407641269047
0.0,1.3402680536107217,Au,-0.15368453409348823,-0.03512409435789766,-3.512409435789766
0.0,1.3502700540108004,Au,-0.15368448314692118,-0.035124104547211064,-3.5124104547211066
0.0,1.3602720544108822,Au,-0.15368448855671638,-0.03512410346525203,-3.512410346525203
0.0,1.3702740548109609,Au,-0.15368454799890094,-0.03512409157681511,-3.5124091576815113
0.0,1.3802760552110425,Au,-0.1536846400671134,-0.03512407316317262,-3.5124073163172618
0.0,1.3902780556111214,Au,-0.15368473182910405,-0.03512405481077449,-3.512405481077449
0.0,1.400280056011203,Au,-0.15368479045380273,-0.03512404308583476,-3.5124043085834757
0.0,1.4102820564112817,Au,-0.15368479480392028,-0.035124042215811245,-3.5124042215811246
0.0,1.4202840568113633,Au,-0.153684742900757,-0.035124052596443904,-3.51240525964439
0.0,1.4302860572114422,Au,-0.1536846526249821,-0.035124070651598886,-3.5124070651598887
0.0,1.4402880576115207,Au,-0.15368455540518136,-0.03512409009555903,-3.512409009555903
0.0,1.4502900580116025,Au,-0.15368448512196412,-0.03512410415220248,-3.5124104152202484
0.0,1.4602920584116812,Au,-0.15368446614502526,-0.03512410794759025,-3.5124107947590253
0.0,1.470294058811763,Au,-0.1536845047271451,-0.035124100231166286,-3.5124100231166286
0.0,1.4802960592118417,Au,-0.15368458679426772,-0.03512408381774176,-3.5124083817741756
0.0,1.4902980596119235,Au,-0.15368468291270787,-0.035124064594053726,-3.5124064594053728
0.0,1.5003000600120022,Au,-0.1536847586803887,-0.035124049440517564,-3.5124049440517564
0.0,1.510302060412084,Au,-0.15368478687361894,-0.035124043801871514,-3.5124043801871516
0.0,1.5203040608121627,Au,-0.15368475706060755,-0.035124049764473794,-3.5124049764473795
0.0,1.5303060612122414,Au,-0.15368467928689697,-0.03512406531921591,-3.5124065319215907
0.0,1.540308061612323,Au,-0.1536845805307006,-0.03512408507045518,-3.512408507045518
0.0,1.5503100620124017,Au,-0.15368449517890778,-0.03512410214081375,-3.512410214081375
0.0,1.5603120624124835,Au,-0.15368445288593835,-0.035124110599407635,-3.5124110599407636
0.0,1.5703140628125625,Au,-0.15368446810217917,-0.03512410755615947,-3.5124107556159467
0.0,1.5803160632126407,Au,-0.15368453496968068,-0.03512409418265917,-3.512409418265917
0.0,1.5903180636127225,Au,-0.15368462938811284,-0.03512407529897273,-3.5124075298972732
0.0,1.6003200640128015,Au,-0.15368471752235488,-0.03512405767212433,-3.512405767212433
0.0,1.6103220644128833,Au,-0.1536847677484958,-0.035124047626896145,-3.5124047626896147
0.0,1.6203240648129615,Au,-0.15368476182054538,-0.03512404881248623,-3.512404881248623
0.0,1.6303260652130434,Au,-0.15368470131478762,-0.03512406091363778,-3.5124060913637782
0.0,1.6403280656131223,Au,-0.153684607075694,-0.035124079761456505,-3.5124079761456506
0.0,1.650330066013204,Au,-0.15368451185814688,-0.03512409880496593,-3.512409880496593
0.0,1.6603320664132828,Au,-0.15368444876315612,-0.03512411142396408,-3.5124111423964077
0.0,1.6703340668133613,Au,-0.15368443954986188,-0.035124113266622924,-3.5124113266622925
0.0,1.680336067213443,Au,-0.1536844869508646,-0.03512410378642238,-3.512410378642238
0.0,1.6903380676135218,Au,-0.1536845737048494,-0.03512408643562542,-3.5124086435625426
0.0,1.7003400680136036,Au,-0.1536846686489642,-0.03512406744680246,-3.512406744680246
0.0,1.710342068413682,Au,-0.15368473772065663,-0.03512405363246398,-3.512405363246398
0.0,1.720344068813764,Au,-0.15368475598485595,-0.035124049979624115,-3.5124049979624115
0.0,1.7303460692138426,Au,-0.153684716439824,-0.0351240578886305,-3.51240578886305
0.0,1.7403480696139244,Au,-0.15368463249188816,-0.035124074678217675,-3.5124074678217676
0.0,1.750350070014003,Au,-0.1536845332243787,-0.035124094531719566,-3.5124094531719567
0.0,1.7603520704140816,Au,-0.15368445313033488,-0.035124110550528324,-3.5124110550528322
0.0,1.7703540708141634,Au,-0.15368441993363052,-0.0351241171898692,-3.51241171898692
0.0,1.7803560712142423,Au,-0.1536844447986438,-0.035124112216866545,-3.5124112216866545
0.0,1.7903580716143241,Au,-0.15368451838577563,-0.03512409749944018,-3.512409749944018
0.0,1.8003600720144024,Au,-0.15368461414643889,-0.035124078347307526,-3.5124078347307526
0.0,1.8103620724144813,Au,-0.15368469769504775,-0.03512406163758575,-3.5124061637585755
0.0,1.8203640728145631,Au,-0.15368473894959653,-0.035124053386676,-3.5124053386676
0.0,1.8303660732146418,Au,-0.15368472275433528,-0.03512405662572825,-3.512405662572825
0.0,1.8403680736147234,Au,-0.15368465423344582,-0.03512407032990614,-3.512407032990614
0.0,1.8503700740148021,Au,-0.1536845569845593,-0.03512408977968345,-3.5124089779683447
0.0,1.860372074414884,Au,-0.1536844647489776,-0.03512410822679978,-3.512410822679978
0.0,1.8703740748149627,Au,-0.1536844094989171,-0.03512411927681188,-3.512411927681188
0.0,1.8803760752150442,Au,-0.15368441014770257,-0.03512411914705479,-3.5124119147054786
0.0,1.890378075615123,Au,-0.15368446586945972,-0.03512410800270336,-3.512410800270336
0.0,1.9003800760152016,Au,-0.15368455638782744,-0.03512408989902981,-3.512408989902981
0.0,1.9103820764152837,Au,-0.15368464913276225,-0.035124071350042856,-3.5124071350042856
0.0,1.9203840768153624,Au,-0.15368471073935977,-0.03512405902872335,-3.512405902872335
0.0,1.930386077215444,Au,-0.15368471882905574,-0.03512405741078416,-3.5124057410784157
0.0,1.9403880776155227,Au,-0.15368466991326424,-0.035124067193942454,-3.5124067193942454
0.0,1.9503900780156043,Au,-0.15368458062805884,-0.035124085050983536,-3.5124085050983536
0.0,1.960392078415683,Au,-0.1536844818629192,-0.035124104804011465,-3.5124104804011465
0.0,1.9703940788157617,Au,-0.1536844078556353,-0.03512411960546824,-3.512411960546824
0.0,1.9803960792158433,Au,-0.15368438410323546,-0.035124124355948215,-3.5124124355948214
0.0,1.990398079615922,Au,-0.1536844183574687,-0.03512411750510156,-3.512411750510156
0.0,2.000400080016004,Au,-0.1536844978848541,-0.03512410159962448,-3.5124101599624478
0.0,2.0104020804160823,Au,-0.15368459395975817,-0.03512408238464367,-3.512408238464367
0.0,2.0204040808161645,Au,-0.15368467200509753,-0.0351240667755758,-3.51240667755758
0.0,2.030406081216243,Au,-0.1536847038008151,-0.03512406041643228,-3.5124060416432283
0.0,2.040408081616322,Au,-0.15368467744957187,-0.03512406568668093,-3.512406568668093
0.0,2.0504100820164037,Au,-0.1536846015803692,-0.03512408086052146,-3.512408086052146
0.0,2.060412082416482,Au,-0.15368450230484887,-0.03512410071562553,-3.512410071562553
0.0,2.070414082816564,Au,-0.15368441399987473,-0.035124118376620356,-3.5124118376620355
0.0,2.080416083216643,Au,-0.1536843671701246,-0.035124127742570385,-3.5124127742570384
0.0,2.0904180836167243,Au,-0.15368437767601567,-0.03512412564139217,-3.5124125641392165
0.0,2.1004200840168026,Au,-0.15368444113087332,-0.03512411295042064,-3.512411295042064
0.0,2.110422084416885,Au,-0.15368453444657612,-0.035124094287280076,-3.5124094287280077
0.0,2.1204240848169635,Au,-0.15368462398307697,-0.035124076379979906,-3.5124076379979905
0.0,2.1304260852170422,Au,-0.15368467742522654,-0.035124065691549994,-3.5124065691549995
0.0,2.1404280856171236,Au,-0.15368467519373172,-0.03512406613784896,-3.5124066137848957
0.0,2.1504300860172023,Au,-0.15368461736088818,-0.03512407770441767,-3.512407770441767
0.0,2.1604320864172846,Au,-0.1536845236283314,-0.035124096450929024,-3.5124096450929025
0.0,2.1704340868173633,Au,-0.15368442637351132,-0.03512411590189304,-3.512411590189304
0.0,2.1804360872174415,Au,-0.15368435921905862,-0.035124129332783575,-3.5124129332783576
0.0,2.1904380876175233,Au,-0.15368434516052742,-0.03512413214448982,-3.5124132144489817
0.0,2.200440088017605,Au,-0.15368438844463003,-0.035124123487669294,-3.5124123487669294
