Cdl_C_F_per_m2,C_H_support_uF_per_cm2,E_mix_with_EDL_V,x_nm,material,is_support_mask,phi_tilde,phi_RP_V,phi_RP_mV,i_Au_local_A_per_m2,i_Pd_local_A_per_m2,local_current_density_A_per_m2,support_compact_voltage_V,support_sigma_C_per_m2
0.0,0.0,0.5988338459487471,33.690738147629524,support,True,-1.2933707068868685,-0.03321157743693955,-33.21157743693955,0.0,0.0,0.0,0.1320454233856867,0.0
0.0,0.0,0.5988338459487471,33.702740548109624,support,True,-1.3003544880058717,-0.033390909152279456,-33.390909152279455,0.0,0.0,0.0,0.1322247551010266,0.0
0.0,0.0,0.5988338459487471,33.71474294858972,support,True,-1.307464457750891,-0.03357348117861626,-33.57348117861626,0.0,0.0,0.0,0.13240732712736336,0.0
0.0,0.0,0.5988338459487471,33.726745349069816,support,True,-1.314650891593157,-0.03375801667395182,-33.75801667395182,0.0,0.0,0.0,0.13259186262269895,0.0
0.0,0.0,0.5988338459487471,33.738747749549916,support,True,-1.321857067729952,-0.03394305911809952,-33.94305911809952,0.0,0.0,0.0,0.13277690506684658,0.0
0.0,0.0,0.5988338459487471,33.75075015003001,support,True,-1.3290395784684916,-0.03412749387475087,-34.12749387475087,0.0,0.0,0.0,0.132961339823498,0.0
0.0,0.0,0.5988338459487471,33.7627525505101,support,True,-1.3361842384450888,-0.03431095668770146,-34.31095668770146,0.0,0.0,0.0,0.13314480263644857,0.0
0.0,0.0,0.5988338459487471,33.7747549509902,support,True,-1.343311864187866,-0.034493982090269576,-34.493982090269576,0.0,0.0,0.0,0.13332782803901666,0.0
0.0,0.0,0.5988338459487471,33.78675735147029,support,True,-1.350471705204594,-0.034677834726715616,-34.677834726715616,0.0,0.0,0.0,0.1335116806754627,0.0
0.0,0.0,0.5988338459487471,33.79875975195039,support,True,-1.3577246578078404,-0.034864078311595444,-34.86407831159544,0.0,0.0,0.0,0.13369792426034255,0.0
0.0,0.0,0.5988338459487471,33.81076215243049,support,True,-1.3651220587053876,-0.03505403108494403,-35.05403108494403,0.0,0.0,0.0,0.1338878770336911,0.0
0.0,0.0,0.5988338459487471,33.82276455291058,support,True,-1.3726875234629388,-0.03524829945464186,-35.24829945464186,0.0,0.0,0.0,0.13408214540338892,0.0
0.0,0.0,0.5988338459487471,33.834766953390684,support,True,-1.3804083397885947,-0.03544655699048254,-35.44655699048254,0.0,0.0,0.0,0.1342804029392296,0.0
0.0,0.0,0.5988338459487471,33.846769353870776,support,True,-1.3882396419115635,-0.035647651615174546,-35.647651615174546,0.0,0.0,0.0,0.1344814975639217,0.0
0.0,0.0,0.5988338459487471,33.858771754350876,support,True,-1.3961201059969959,-0.0358500086361112,-35.8500086361112,0.0,0.0,0.0,0.13468385458485832,0.0
0.0,0.0,0.5988338459487471,33.87077415483097,support,True,-1.403993789431576,-0.03605219154137502,-36.05219154137502,0.0,0.0,0.0,0.13488603749012218,0.0
0.0,0.0,0.5988338459487471,33.88277655531106,support,True,-1.4118304570770608,-0.036253423943631936,-36.25342394363194,0.0,0.0,0.0,0.13508726989237907,0.0
0.0,0.0,0.5988338459487471,33.89477895579117,support,True,-1.419637137196549,-0.03645388631681949,-36.45388631681949,0.0,0.0,0.0,0.13528773226556656,0.0
0.0,0.0,0.5988338459487471,33.90678135627126,support,True,-1.4274566349246482,-0.0366546778245689,-36.6546778245689,0.0,0.0,0.0,0.135488523773316,0.0
0.0,0.0,0.5988338459487471,33.918783756751345,support,True,-1.4353532889301208,-0.036857450575334794,-36.857450575334795,0.0,0.0,0.0,0.13569129652408196,0.0
0.0,0.0,0.5988338459487471,33.930786157231445,support,True,-1.4433907978667344,-0.0370638402430666,-37.0638402430666,0.0,0.0,0.0,0.13589768619181375,0.0
0.0,0.0,0.5988338459487471,33.94278855771154,support,True,-1.451609854552352,-0.037274891750665694,-37.274891750665695,0.0,0.0,0.0,0.13610873769941279,0.0
0.0,0.0,0.5988338459487471,33.954790958191644,support,True,-1.4600135429798131,-0.03749068428986455,-37.490684289864554,0.0,0.0,0.0,0.13632453023861169,0.0
0.0,0.0,0.5988338459487471,33.96679335867174,support,True,-1.4685658476542658,-0.037710293043524634,-37.710293043524636,0.0,0.0,0.0,0.1365441389922717,0.0
0.0,0.0,0.5988338459487471,33.978795759151836,support,True,-1.477204067090435,-0.037932107943300854,-37.932107943300856,0.0,0.0,0.0,0.13676595389204793,0.0
0.0,0.0,0.5988338459487471,33.99079815963193,support,True,-1.485860993966135,-0.038154403218559,-38.154403218559004,0.0,0.0,0.0,0.13698824916730612,0.0
0.0,0.0,0.5988338459487471,34.00280056011202,support,True,-1.49448916674067,-0.038375960137016274,-38.37596013701627,0.0,0.0,0.0,0.13720980608576339,0.0
0.0,0.0,0.5988338459487471,34.01480296059212,support,True,-1.50307860270334,-0.03859652235950583,-38.596522359505826,0.0,0.0,0.0,0.13743036830825295,0.0
0.0,0.0,0.5988338459487471,34.02680536107222,support,True,-1.5116615625445524,-0.03881691828612356,-38.81691828612356,0.0,0.0,0.0,0.13765076423487066,0.0
0.0,0.0,0.5988338459487471,34.03880776155231,support,True,-1.5203023741784936,-0.03903879974916473,-39.03879974916473,0.0,0.0,0.0,0.1378726456979118,0.0
0.0,0.0,0.5988338459487471,34.050810162032406,support,True,-1.5290756171325892,-0.03926408182505491,-39.264081825054916,0.0,0.0,0.0,0.13809792777380203,0.0
0.0,0.0,0.5988338459487471,34.0628125625125,support,True,-1.5380401819438916,-0.0394942767234191,-39.4942767234191,0.0,0.0,0.0,0.1383281226721662,0.0
0.0,0.0,0.5988338459487471,34.074814962992605,support,True,-1.5472183521808995,-0.03972995664869706,-39.729956648697055,0.0,0.0,0.0,0.13856380259744416,0.0
0.0,0.0,0.5988338459487471,34.086817363472704,support,True,-1.5565874734496328,-0.03997053987427635,-39.970539874276355,0.0,0.0,0.0,0.13880438582302346,0.0
0.0,0.0,0.5988338459487471,34.09881976395279,support,True,-1.5660874653296224,-0.04021448363633356,-40.214483636333554,0.0,0.0,0.0,0.13904832958508062,0.0
0.0,0.0,0.5988338459487471,34.11082216443289,support,True,-1.575641868109094,-0.04045982457848147,-40.45982457848147,0.0,0.0,0.0,0.13929367052722863,0.0
0.0,0.0,0.5988338459487471,34.12282456491298,support,True,-1.5851852446855057,-0.04070488238633941,-40.704882386339406,0.0,0.0,0.0,0.13953872833508651,0.0
0.0,0.0,0.5988338459487471,34.13482696539308,support,True,-1.5946873258916172,-0.04094887979876609,-40.948879798766086,0.0,0.0,0.0,0.13978272574751316,0.0
0.0,0.0,0.5988338459487471,34.14682936587318,support,True,-1.6041652161225155,-0.04119225602776694,-41.19225602776694,0.0,0.0,0.0,0.1400261019765141,0.0
0.0,0.0,0.5988338459487471,34.158831766353266,support,True,-1.6136790154764586,-0.0414365543424578,-41.4365543424578,0.0,0.0,0.0,0.14027040029120497,0.0
0.0,0.0,0.5988338459487471,34.170834166833366,support,True,-1.6233120045200744,-0.041683913247269624,-41.68391324726962,0.0,0.0,0.0,0.14051775919601672,0.0
0.0,0.0,0.5988338459487471,34.18283656731346,support,True,-1.6331420638088519,-0.04193633258345882,-41.93633258345882,0.0,0.0,0.0,0.14077017853220597,0.0
0.0,0.0,0.5988338459487471,34.19483896779356,support,True,-1.643214292238774,-0.042194970414578474,-42.19497041457847,0.0,0.0,0.0,0.14102881636332554,0.0
0.0,0.0,0.5988338459487471,34.20684136827366,support,True,-1.6535246199075324,-0.04245972223240447,-42.45972223240447,0.0,0.0,0.0,0.14129356818115157,0.0
0.0,0.0,0.5988338459487471,34.21884376875375,support,True,-1.6640205534237138,-0.042729240095217884,-42.72924009521788,0.0,0.0,0.0,0.14156308604396495,0.0
0.0,0.0,0.5988338459487471,34.23084616923385,support,True,-1.6746192533344546,-0.04300139682564493,-43.00139682564493,0.0,0.0,0.0,0.14183524277439208,0.0
0.0,0.0,0.5988338459487471,34.24284856971394,support,True,-1.685236974383919,-0.04327404198681987,-43.27404198681987,0.0,0.0,0.0,0.14210788793556695,0.0
0.0,0.0,0.5988338459487471,34.25485097019404,support,True,-1.6958196857346586,-0.04354578815800373,-43.54578815800373,0.0,0.0,0.0,0.1423796341067508,0.0
0.0,0.0,0.5988338459487471,34.26685337067414,support,True,-1.7063639810240216,-0.0438165478695512,-43.8165478695512,0.0,0.0,0.0,0.14265039381829836,0.0
0.0,0.0,0.5988338459487471,34.27885577115423,support,True,-1.716920536131604,-0.04408762239254444,-44.08762239254444,0.0,0.0,0.0,0.1429214683412916,0.0
0.0,0.0,0.5988338459487471,34.290858171634326,support,True,-1.7275783661942832,-0.04436129748550244,-44.36129748550244,0.0,0.0,0.0,0.14319514343424955,0.0
0.0,0.0,0.5988338459487471,34.302860572114426,support,True,-1.7384349246336352,-0.04464007558785723,-44.64007558785723,0.0,0.0,0.0,0.14347392153660432,0.0
0.0,0.0,0.5988338459487471,34.314862972594526,support,True,-1.7495622856804847,-0.04492580744424491,-44.92580744424491,0.0,0.0,0.0,0.14375965339299202,0.0
0.0,0.0,0.5988338459487471,34.32686537307462,support,True,-1.7609813631492992,-0.04521903008613293,-45.219030086132925,0.0,0.0,0.0,0.14405287603488004,0.0
0.0,0.0,0.5988338459487471,34.33886777355471,support,True,-1.7726536281121152,-0.045518754155661395,-45.5187541556614,0.0,0.0,0.0,0.14435260010440853,0.0
0.0,0.0,0.5988338459487471,34.35087017403481,support,True,-1.7844938517671824,-0.04582279112100867,-45.82279112100867,0.0,0.0,0.0,0.14465663706975573,0.0
0.0,0.0,0.5988338459487471,34.36287257451491,support,True,-1.7964000182763176,-0.04612852138758245,-46.12852138758245,0.0,0.0,0.0,0.1449623673363296,0.0
0.0,0.0,0.5988338459487471,34.374874974995,support,True,-1.808290302267797,-0.04643384381790154,-46.43384381790154,0.0,0.0,0.0,0.1452676897666486,0.0
0.0,0.0,0.5988338459487471,34.386877375475095,support,True,-1.8201341447670227,-0.04673797370906071,-46.73797370906071,0.0,0.0,0.0,0.14557181965780785,0.0
0.0,0.0,0.5988338459487471,34.39887977595519,support,True,-1.8319661187472933,-0.04704179883667896,-47.04179883667896,0.0,0.0,0.0,0.14587564478542603,0.0
0.0,0.0,0.5988338459487471,34.41088217643529,support,True,-1.8438770156553517,-0.04734765057191544,-47.34765057191544,0.0,0.0,0.0,0.1461814965206626,0.0
0.0,0.0,0.5988338459487471,34.422884576915386,support,True,-1.8559845091354532,-0.047658550575402844,-47.65855057540284,0.0,0.0,0.0,0.14649239652414991,0.0
0.0,0.0,0.5988338459487471,34.43488697739548,support,True,-1.868393123728051,-0.04797718286097481,-47.977182860974814,0.0,0.0,0.0,0.14681102880972197,0.0
0.0,0.0,0.5988338459487471,34.44688937787558,support,True,-1.8811574163749363,-0.04830494835884214,-48.30494835884214,0.0,0.0,0.0,0.14713879430758925,0.0
0.0,0.0,0.5988338459487471,34.45889177835567,support,True,-1.8942616653692737,-0.04864144336210066,-48.64144336210066,0.0,0.0,0.0,0.14747528931084775,0.0
0.0,0.0,0.5988338459487471,34.47089417883577,support,True,-1.9076239929411196,-0.048984565387771316,-48.98456538777132,0.0,0.0,0.0,0.1478184113365184,0.0
0.0,0.0,0.5988338459487471,34.48289657931587,support,True,-1.9211244478965819,-0.04933123429158968,-49.33123429158968,0.0,0.0,0.0,0.1481650802403368,0.0
0.0,0.0,0.5988338459487471,34.49489897979596,support,True,-1.9346480068425365,-0.04967849646690031,-49.67849646690031,0.0,0.0,0.0,0.14851234241564737,0.0
0.0,0.0,0.5988338459487471,34.50690138027606,support,True,-1.9481277507558508,-0.05002463354610224,-50.02463354610224,0.0,0.0,0.0,0.14885847949484932,0.0
