C_H_F_per_m2,c_ion_M,g,lambda_D_nm,phi_RP_V
1.1067429277152048,0.0001,48.425699778373996,30.41217889017721,-0.19595352213733327
1.1355857648871208,0.0001,49.68772236615524,30.41217889017721,-0.19605427131731717
1.1651802754922196,0.0001,50.98263453569495,30.41217889017721,-0.19615256129693334
1.1955460488984522,0.0001,52.31129342267249,30.41217889017721,-0.1962484496781137
1.2267031849924628,0.0001,53.67457850058785,30.41217889017721,-0.19634199283314363
1.2586723074842154,0.0001,55.073392162907496,30.41217889017721,-0.1964332459249308
1.2914745775583638,0.0001,56.5086603203821,30.41217889017721,-0.19652226292725655
1.325131707881378,0.0001,57.98133301393042,30.41217889017721,-0.19660909664498824
1.359665976973723,0.0001,59.49238504349605,30.41217889017721,-0.19669379873423415
1.3951002439565787,0.0001,61.04281661329243,30.41217889017721,-0.19677641972242194
1.431457963682884,0.0001,62.63365399386378,30.41217889017721,-0.19685700902828418
1.4687632022627082,0.0001,64.2659502014001,30.41217889017721,-0.19693561498173495
1.5070406529932237,0.0001,65.94078569475546,30.41217889017721,-0.19701228484362304
1.546315652703841,0.0001,67.65926909063174,30.41217889017721,-0.19708706482534794
1.5866141985273015,0.0001,69.42253789740032,30.41217889017721,-0.1971600001083263
1.6279629651078547,0.0001,71.23175926804835,30.41217889017721,-0.19723113486329727
1.670389322257885,0.0001,73.08813077274716,30.41217889017721,-0.19730051226945555
1.7139213530747017,0.0001,74.99288119155496,30.41217889017721,-0.19736817453340313
1.7585878725294577,0.0001,76.94727132777773,30.41217889017721,-0.19743416290791016
1.8044184465405217,0.0001,78.95259484252753,30.41217889017721,-0.19749851771047683
1.8514434115439244,0.0001,81.01017911103014,30.41217889017721,-0.19756127834168938
1.8996938945738189,0.0001,83.1213861012486,30.41217889017721,-0.19762248330336257
1.9492018338662727,0.0001,85.28761327540523,30.41217889017721,-0.19768217021646362
2.0,0.0001,87.51029451499736,30.41217889017721,-0.19774037583881143
0.020000000000000004,0.00010528011937674228,0.8528761327540519,29.639737432301267,-0.09205970303976722
0.020521220175880605,0.00010528011937674228,0.8751029451499736,29.639737432301267,-0.09333918944700728
0.02105602387534845,0.00010528011937674228,0.8979090106992085,29.639737432301267,-0.09462087019318273
0.021604765098731212,0.00010528011937674228,0.9213094253232794,29.639737432301267,-0.09590432578742591
0.02216780707196219,0.00010528011937674228,0.9453196783586517,29.639737432301267,-0.09718913440039403
0.02274552248700896,0.00010528011937674228,0.9699556628095263,29.639737432301267,-0.09847487241679209
0.023338293748567704,0.00010528011937674228,0.9952336858678242,29.639737432301267,-0.09976111499289854
0.023946513227186786,0.00010528011937674228,1.0211704797073407,29.639737432301267,-0.10104743661753886
0.024570583518986847,0.00010528011937674228,1.047783212559197,29.639737432301267,-0.10233341167493411
0.025210917712149616,0.00010528011937674228,1.0750895000759397,29.639737432301267,-0.10361861500784382
0.025867939660351516,0.00010528011937674228,1.103107416991788,29.639737432301267,-0.10490262247941992
0.026542084263323367,0.00010528011937674228,1.1318555090867706,29.639737432301267,-0.10618501153219588
0.027233797754721727,0.00010528011937674228,1.1613528054626523,29.639737432301267,-0.10746536174264772
0.027943537997502352,0.00010528011937674228,1.1916188311387854,29.639737432301267,-0.10874325536978609
0.028671774786991577,0.00010528011937674228,1.2226736199762251,29.639737432301267,-0.11001827789626648
0.029418990161855802,0.00010528011937674228,1.2545377279386536,29.639737432301267,-0.1112900185605401
0.030185678723175412,0.00010528011937674228,1.2872322466989055,29.639737432301267,-0.11255807087861143
0.030972347961833843,0.00010528011937674228,1.3207788176000843,29.639737432301267,-0.11382203315401684
0.031779518594438956,0.00010528011937674228,1.3551996459805289,29.639737432301267,-0.11508150897469457
0.032607724907998674,0.00010528011937674228,1.3905175158720942,29.639737432301267,-0.11633610769547643
0.03345751511357933,0.00010528011937674228,1.4267558050814888,29.639737432301267,-0.11758544490499975
0.03432945170918072,0.00010528011937674228,1.4639385006646513,29.639737432301267,-0.11882914287590793
