material,y_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
Au,7.856479546629112,-0.615810881634072,-15.81298437717667,0.540202677232189,1.8511570603900982
Au,7.919838252650314,-0.6031142045422918,-15.486955132676115,0.5471051829053123,1.8278020959144712
Au,7.983196958671517,-0.5906793052364854,-15.167647900019377,0.5539508551770204,1.805214290499543
Au,8.046555664692718,-0.5785007864297306,-14.854924085985184,0.5607384033344487,1.783362783881875
Au,8.109914370713922,-0.5665733621153871,-14.54864795484214,0.5674666135447153,1.7622182100783659
Au,8.173273076735125,-0.5548918552727424,-14.24868656943358,0.5741343474416387,1.7417526132272565
Au,8.236631782756326,-0.5434511956199577,-13.954909733477015,0.5807405406535855,1.7219393687834594
Au,8.29999048877753,-0.5322464174133443,-13.667189935053266,0.5872842012788806,1.7027531096909845
Au,8.363349194798731,-0.5212726572920191,-13.385402291260842,0.5937644083149451,1.6841696571842666
Au,8.426707900819935,-0.5105251521669897,-13.109424494011224,0.6001803100470681,1.6661659558967816
Au,8.490066606841136,-0.49999923715376976,-12.839136756941905,0.6065311224024372,1.6487200129798019
Au,8.55342531286234,-0.48969034354761504,-12.574421763423866,0.6128161272747984,1.6318108409565093
Au,8.616784018883541,-0.47959399684050774,-12.315164615641088,0.6190346708248415,1.6154184040572974
Au,8.680142724904744,-0.46970581477902407,-12.061252784719866,0.6251861617611515,1.5995235678009836
Au,8.743501430925948,-0.4600215054622482,-11.81257606188644,0.6312700696062982,1.5841080516040722
Au,8.806860136947149,-0.4505368654788978,-11.569026510631536,0.6372859229523933,1.569154384216176
Au,8.870218842968352,-0.4412477780828622,-11.330498419861254,0.6432333077101818,1.5546458617944652
Au,8.933577548989554,-0.4321502114063567,-11.096888258013887,0.6491118653554959,1.540566508443556
Au,8.996936255010757,-0.42324021670991413,-10.868094628122664,0.6549212911766628,1.5269010390597508
Au,9.060294961031959,-0.4145139266684626,-10.644018223805112,0.6606613325262165,1.5136348243300857
Au,9.123653667053162,-0.40596755369273657,-10.424561786159721,0.6663317870800485,1.5007538577472472
Au,9.187012373074364,-0.39759738828529967,-10.209630061551398,0.6719325011069011,1.4882447245112573
Au,9.250371079095567,-0.38939979743046094,-9.999129760267213,0.677463367750907,1.476094572197865
Au,9.31372978511677,-0.38137122301738763,-9.792969516024616,0.6829243253296648,1.464291083081972
Au,9.377088491137972,-0.37350818029573213,-9.591059846314533,0.6883153556501462,1.4528224480121514
Au,9.440447197159175,-0.3658072563630962,-9.393313113561993,0.6936364823445441,1.4416773417394713
Au,9.503805903180377,-0.3582651086836856,-9.199643487087695,0.6988877692279815,1.430844899610475
Au,9.56716460920158,-0.35087846363750164,-9.00996690585368,0.7040693186798359,1.420314695540275
Au,9.630523315222781,-0.3436441150994507,-8.824201041977265,0.7091812700502568,1.4100767211874252
Au,9.693882021243985,-0.3365589230477436,-8.64226526499709,0.7142237980933065,1.4001213662574705
Au,9.757240727265186,-0.32961981220099235,-8.464080606876063,0.7191971114279905,1.3904393998669793
Au,9.82059943328639,-0.32282377068340157,-8.289569727725725,0.7241014510283116,1.3810219529043604
Au,9.883958139307593,-0.3161678487174857,-8.118656882237431,0.7289370887433336,1.3718605013279965
Au,9.947316845328794,-0.30964915734373694,-7.951267886805587,0.7337043258481203,1.3629468503460942
Au,10.010675551349998,-0.3032648671666894,-7.7873300873286935,0.7384034916262883,1.354273119426293
Au,10.0740342573712,-0.297012207126841,-7.626772327674372,0.7430349419847943,1.3458317280864356
Au,10.137392963392402,-0.29088846329789164,-7.469524918794466,0.7475990581014748,1.337615382421022
Au,10.200751669413604,-0.2848909777087817,-7.315519608476983,0.7520962451057478,1.3296170623207884
Au,10.264110375434807,-0.27901714719001625,-7.164689551721645,0.7565269307927927,1.3218300093455535
Au,10.327469081456009,-0.27326442224377784,-7.016969281726291,0.7608915643714314,1.3142477152130012
Au,10.390827787477212,-0.26763030593733206,-6.872294681471396,0.7651906152458566,1.3068639108684035
Au,10.454186493498415,-0.2621123528192515,-6.7306029558905385,0.7694245718312641,1.2996725561024862
Au,10.517545199519617,-0.25670816785798223,-6.59183260461457,0.7735939404033828,1.29266782968667
Au,10.58090390554082,-0.2514154054022967,-6.455923395277805,0.7776992439818212,1.2858441199968236
Au,10.644262611562022,-0.24623176816317946,-6.322816337374564,0.7817410212470901,1.2791960160984355
Au,10.707621317583225,-0.241155006216703,-6.192453656654706,0.7857198254911033,1.2727182992677624
Au,10.770980023604427,-0.2361829160274633,-6.0647787700470985,0.7896362236009029,1.2664059349250663
Au,10.83433872962563,-0.2313133394921501,-5.939736261100123,0.7934907950753065,1.2602540649574827
Au,10.897697435646831,-0.22654416300283572,-5.817271855928504,0.7972841310741343,1.2542580004104165
Au,10.961056141668035,-0.22187331652957726,-5.69733239965609,0.8010168334996253,1.2484132145276168
Au,11.024414847689238,-0.21729877272193407,-5.57986583334433,0.8046895141096212,1.2427153361212708
Au,11.08777355371044,-0.21281854602900913,-5.4648211713964265,0.8083027936620618,1.2371601432545385
Au,11.151132259731643,-0.20843069183763385,-5.352148479427374,0.8118573010903034,1.2317435572200013
Au,11.214490965752844,-0.20413330562832152,-5.241798852590266,0.8153536727087495,1.2264616367984493
Au,11.277849671774048,-0.19992452214862214,-5.133724394349444,0.8187925514482559,1.2213105727833378
Au,11.34120837779525,-0.19580251460352344,-5.027878195691359,0.8221745861207524,1.2162866827570982
Au,11.404567083816453,-0.1917654938625407,-4.92421431476398,0.8255004307125083,1.2113864061062658
Au,11.467925789837654,-0.18781170768315777,-4.822687756936069,0.8287707437054485,1.2066062992631503
Au,11.531284495858857,-0.18393943995027628,-4.723254455267512,0.8319861874259197,1.20194303116245
Au,11.59464320188006,-0.18014700993134813,-4.625871251382391,0.8351474274202895,1.1973933789018885
Au,11.658001907901262,-0.17643277154686443,-4.530495876736363,0.8382551318567584,1.1929542235965467
Au,11.721360613922466,-0.17279511265588443,-4.437086934270249,0.8413099709527541,1.1886225464171487
Au,11.784719319943667,-0.16923245435629747,-4.34560388044194,0.8443126164272734,1.1843954248031032
Au,11.84807802596487,-0.16574325029951015,-4.256007007628729,0.8472637409775353,1.1802700288416028
Au,11.911436731986072,-0.1623259860192641,-4.168257426892473,0.8501640177793058,1.1762436178045708
Au,11.974795438007275,-0.15897917827429114,-4.082317051100089,0.8530141200102558,1.1723135368356823
Au,12.038154144028477,-0.15570137440452342,-3.9981485783921222,0.8558147203957124,1.1684772137801265
Au,12.10151285004968,-0.15249115170057423,-3.9157154759920725,0.8585664907761724,1.164732156150151
Au,12.164871556070882,-0.1493471167862215,-3.8349819643496126,0.8612701016959402,1.1610759482198263
Au,12.228230262092085,-0.14626790501362102,-3.7559130016106863,0.8639262220122682,1.1575062482428036
Au,12.291588968113288,-0.14325217987099081,-3.6784742684078404,0.8665355185243746,1.1540207857871798
Au,12.35494767413449,-0.1402986324025062,-3.602632152964109,0.8690986556217255,1.1506173591818893
Au,12.418306380155693,-0.13740598064015624,-3.5283537365040494,0.8716162949509721,1.1472938330693432
Au,12.481665086176895,-0.13457296904731444,-3.455606778965569,0.8740890951009422,1.1440481360593078
Au,12.545023792198098,-0.1317983679737802,-3.3843597050063177,0.8765177113050973,1.1408782584792758
Au,12.6083824982193,-0.12908097312205835,-3.3145815902986406,0.878902795160868,1.1377822502168369
Au,12.671741204240503,-0.12641960502464072,-3.2462421481070547,0.881244994365301,1.134758218649775
Au,12.735099910261704,-0.12381310853206647,-3.179311716142499,0.8835449524664489,1.1318043266598519
Au,12.798458616282907,-0.12126035231153677,-3.113761243687607,0.885803308629954,1.1289187907264318
Au,12.86181732230411,-0.11876022835586761,-3.049562278987445,0.8880206974202832,1.126099879096308
