L_support_nm,x_nm,material,sigma_C_per_m2,sigma_uC_per_cm2,phi_RP_with_V,phi_RP_no_V,i1_with_A_per_m2,i2_with_A_per_m2,i1_no_A_per_m2,i2_no_A_per_m2,c_R1_over_bulk,c_O2_over_bulk
2.0,2.16,support,0.03313085336460947,3.313085336460947,-0.08935291028511609,0.0,0.0,0.0,0.0,0.0,0.030816551897062498,32.45009381128465
2.0,2.17,support,0.032873129428399615,3.2873129428399617,-0.08806429060406683,0.0,0.0,0.0,0.0,0.0,0.03240248561294979,30.86182992086094
2.0,2.18,support,0.03262294898184025,3.2622948981840247,-0.08681338837126998,0.0,0.0,0.0,0.0,0.0,0.034020030490736146,29.394447493875873
2.0,2.19,support,0.0323798035511435,3.23798035511435,-0.08559766121778624,0.0,0.0,0.0,0.0,0.0,0.035669429095262155,28.035211814837442
2.0,2.2,support,0.03214283060228695,3.2142830602286945,-0.08441279647350346,0.0,0.0,0.0,0.0,0.0,0.0373538736625374,26.770985227240587
2.0,2.21,support,0.031911462582425776,3.1911462582425774,-0.08325595637419762,0.0,0.0,0.0,0.0,0.0,0.039075195101297325,25.591682841445344
2.0,2.22,support,0.03168568116824359,3.168568116824359,-0.08212704930328671,0.0,0.0,0.0,0.0,0.0,0.040831396749011914,24.490957440102733
2.0,2.23,support,0.03146557701140564,3.1465577011405643,-0.08102652851909699,0.0,0.0,0.0,0.0,0.0,0.0426193894167072,23.463498977486307
2.0,2.24,support,0.03125084540699866,3.1250845406998664,-0.07995287049706207,0.0,0.0,0.0,0.0,0.0,0.0444391643511823,22.502673364815312
2.0,2.25,support,0.031040877119714184,3.1040877119714185,-0.07890302906063966,0.0,0.0,0.0,0.0,0.0,0.04629368333814587,21.601219170564523
2.0,2.26,support,0.030835271242522035,3.0835271242522033,-0.07787499967467894,0.0,0.0,0.0,0.0,0.0,0.048184647333490385,20.753498372187057
2.0,2.27,support,0.03063405892628103,3.063405892628103,-0.0768689380934739,0.0,0.0,0.0,0.0,0.0,0.050109964343559195,19.95611078754506
2.0,2.28,support,0.030437362741310144,3.0437362741310143,-0.07588545716861947,0.0,0.0,0.0,0.0,0.0,0.0520664057604965,19.206242209227234
2.0,2.29,support,0.030244980574886306,3.0244980574886307,-0.07492354633650027,0.0,0.0,0.0,0.0,0.0,0.05405380751757034,18.50008437749639
2.0,2.3,support,0.030056447401018038,3.005644740101804,-0.07398088046715895,0.0,0.0,0.0,0.0,0.0,0.05607502748313681,17.833250287763576
2.0,2.31,support,0.02987145808426324,2.987145808426324,-0.07305593388338495,0.0,0.0,0.0,0.0,0.0,0.05813169885619929,17.202318522871757
2.0,2.32,support,0.029690064412596695,2.9690064412596695,-0.07214896552505222,0.0,0.0,0.0,0.0,0.0,0.060221625153478675,16.60533068397666
2.0,2.33,support,0.029512397693985518,2.9512397693985517,-0.07126063193199633,0.0,0.0,0.0,0.0,0.0,0.06234142996986166,16.040697181367833
2.0,2.34,support,0.029338314567687453,2.933831456768745,-0.07039021630050603,0.0,0.0,0.0,0.0,0.0,0.06449083555050322,15.506079142313066
2.0,2.35,support,0.029167441597624657,2.9167441597624655,-0.06953585145019203,0.0,0.0,0.0,0.0,0.0,0.06667266005279587,14.998651609342318
2.0,2.36,support,0.028999534686056518,2.8999534686056516,-0.06869631689235134,0.0,0.0,0.0,0.0,0.0,0.06888850158233216,14.516210645180736
2.0,2.37,support,0.028834654293779585,2.8834654293779587,-0.06787191493096668,0.0,0.0,0.0,0.0,0.0,0.07113605195018279,14.057569580897026
