L_support_nm,pzc_support_V,N_modes,gl_order,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,sigma_support_signed_mean_C_per_m2,sigma_support_signed_mean_uC_per_cm2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,overlap_reference_L_support_nm,overlap_delta_phi_RP_Au_mean_vs_15nm_mV,overlap_delta_phi_RP_Pd_mean_vs_15nm_mV,overlap_active_RP_RMS_vs_15nm_mV
15.0,0.22,3840,128,3.0412178890177213,0.5522796392208146,0.4670000000000002,0.027438619776960698,0.11756035407872475,1.097544791078428e-12,4.7024141631489906e-12,-172.9472724799774,-8.329885429818988,0.041012926735338455,4.1012926735338455,1.0574947503876325e-15,4.308123452522561e-15,7.888160958030728,False,15.0,0.0,0.0,0.0
1.0,0.24,960,128,3.0412178890177213,0.573275887970741,0.4670000000000001,0.03145843772646231,0.11756035407872445,1.2583375090584927e-12,4.7024141631489785e-12,-181.8689067453155,-38.48074061131639,0.07295477525745536,7.295477525745536,1.7608807275136694e-15,1.7950514385510672e-15,7.975980606259595,False,15.0,-7.874793861394863,-29.10401477755417,21.319662925707267
3.0,0.24,960,128,3.0412178890177213,0.560210951643772,0.46699999999999964,0.028569666049155444,0.1175603540787235,1.1427866419662178e-12,4.7024141631489405e-12,-176.81119321705918,-19.284453641162248,0.05618571315432027,5.618571315432027,4.616497842994237e-16,6.0134223191460756e-15,7.944700247055497,False,15.0,-2.8170803331385343,-9.907727807400024,7.283509178578812
6.0,0.24,1920,128,3.0412178890177213,0.5551213328237115,0.4670000000000002,0.027549218290662446,0.11756035407872475,1.101968731626498e-12,4.7024141631489906e-12,-174.6501670567922,-11.736682819955758,0.04651912731277678,4.651912731277678,4.787497064324877e-16,4.308123452522561e-15,7.913776402604531,False,15.0,-0.6560541728715634,-2.3599569861935343,1.7320225250304715
15.0,0.24,3840,128,3.0412178890177213,0.5535568922046888,0.4670000000000002,0.027213781658546557,0.11756035407872475,1.0885512663418623e-12,4.7024141631489906e-12,-173.99411288392065,-9.376725833762224,0.038841544275900315,3.8841544275900315,9.693015351254626e-17,4.308123452522561e-15,7.901903794182877,False,15.0,0.0,0.0,0.0
1.0,0.26,960,128,3.0412178890177213,0.5738873426818889,0.4670000000000001,0.03135656373057977,0.11756035407872445,1.2542625492231908e-12,4.7024141631489785e-12,-182.33737523359676,-38.94920909959766,0.06967886695705568,6.967886695705568,2.01897329553162e-15,1.7950514385510672e-15,7.978745520502203,False,15.0,-7.294240794933643,-28.523461711092928,20.818186961868925
3.0,0.26,960,128,3.0412178890177213,0.5612610523645926,0.46699999999999964,0.028384380288539526,0.1175603540787235,1.1353752115415812e-12,4.7024141631489405e-12,-177.66034756008975,-20.13360798419281,0.05345280531427741,5.345280531427741,2.7879798752043414e-16,6.0134223191460756e-15,7.953960957810457,False,15.0,-2.61721312142663,-9.70786059568808,7.109583738457585
6.0,0.26,1920,128,3.0412178890177213,0.5563427367645725,0.4670000000000002,0.02733887051166524,0.11756035407872475,1.0935548204666097e-12,4.7024141631489906e-12,-175.65169388868105,-12.73820965184463,0.04409915055911934,4.409915055911934,7.718932009848155e-16,4.308123452522561e-15,7.9264124715787325,False,15.0,-0.6085594500179354,-2.3124622633398992,1.6908320915420936
15.0,0.26,3840,128,3.0412178890177213,0.5548307496973383,0.4670000000000002,0.026997683870405027,0.11756035407872475,1.0799073548162012e-12,4.7024141631489906e-12,-175.04313443866312,-10.42574738850473,0.036669813176456706,3.6669813176456705,5.862360741348126e-16,4.308123452522561e-15,7.915733667641598,False,15.0,0.0,0.0,0.0
1.0,0.28,960,128,3.0412178890177213,0.5744978110065538,0.4670000000000001,0.03125834185671885,0.11756035407872445,1.2503336742687542e-12,4.7024141631489785e-12,-182.80650036050199,-39.41833422650281,0.06640288108256236,6.640288108256236,4.2194113269204696e-16,1.7950514385510672e-15,7.981536360590949,False,15.0,-6.712208675331965,-27.941429591491236,20.319660835228817
